uur,c_x,c_y,b_x,b_y,ster_x,ster_y
80,4099414350.299882,-15593333372.236692,-27748002109.632446,-12909089920.060757,2029250754.7154844,-284204642.187134
81,-2136112178.3359852,-14229567686.035847,-29219143954.038456,-9410408244.31121,2071952721.262908,-314375784.2503042
82,-7702811674.485674,-10641064401.20797,-30245043754.37428,-5782850458.118933,2110809384.8341608,-349402178.0820698
83,-11599061812.501736,-5294042915.049307,-30819385408.69001,-2080101246.2591076,2143938267.9967878,-388109786.1632075
84,-13330925524.818245,829538087.1854048,-30941227560.49705,1645361003.1565948,2170423806.373881,-428381441.91714823
85,-13048482197.77397,6789337455.704841,-30614894056.261993,5342801963.291008,2190567885.1364284,-468186891.3337228
86,-11219133655.703262,12007266377.1653,-29850031237.994766,8963317234.110884,2205288267.522103,-506174040.99742204
87,-8331248509.607951,16229747704.569738,-28661133258.68241,12459717391.084173,2215569797.3014,-541598749.279022
88,-4783993768.116623,19391943284.69935,-27066936818.66021,15786719724.743624,2222257870.110616,-574075801.2770542
89,-879164820.6314368,21518329297.502583,-25090094192.090233,18901240567.977806,2226041461.8995633,-603397442.4087313
90,3157622894.8767242,22669687867.65797,-22757005973.293606,21762637110.48804,2227491191.312167,-629437133.8374052
91,7154100706.500172,22918460458.613785,-20097702647.02996,24332919300.384212,2227100692.97116,-652105386.6737523
92,10973434736.026175,22338474676.01691,-17145742004.974646,26576966091.53277,2225319016.817908,-671332103.544099
93,14501266695.136879,21001563428.39943,-13938112761.265505,28462766154.315273,2222573938.751552,-687061762.3495759
94,17636401286.905228,18977548056.272015,-10515136746.934458,29961695010.01046,2219288544.347892,-699255011.6327472
95,20283912643.435356,16336080615.44173,-6920359533.497417,31048836616.52907,2215893287.789605,-707893952.1646045
96,22349787655.02688,13149875537.287817,-3200416203.6259775,31703354802.750175,2212835073.339035,-712990270.9001495
97,23736573951.46204,9499474503.443197,595144091.4386549,31908917261.9786,2210584243.9464893,-714596508.2191464
98,24339875902.22269,5480189189.060752,4414094068.0076065,31654171421.488243,2209639652.4259,-712821642.1674529
99,24046109311.77879,1212435253.9382443,8201846617.057846,30933266998.067368,2210530930.1650324,-707853194.7940259
100,22733060822.024715,-3142610501.793589,11901879273.878859,29746414150.252483,2213814965.337939,-699989354.9052491
101,20277319388.992123,-7359436034.981209,15456289303.130234,28100458748.35997,2220058953.3100953,-689685787.6251107
102,16578151261.232098,-11114863307.022284,18806502566.336548,26009447612.903053,2229792248.680147,-677620360.9322547
103,11617688574.535387,-13950632619.623646,21894155490.903168,23495147242.49074,2243390296.4734807,-664765125.3603653
104,5586952401.259647,-15266980358.483019,24662162748.670967,20587470562.03017,2260836178.6987486,-652400650.9997482
105,-928043552.4376154,-14450396806.205921,27055973564.419075,17324758652.536453,2281370360.0588865,-641882297.3157059
106,-6888825184.482481,-11252669015.549053,29025005637.187515,13753858664.848778,2303376392.757179,-633942314.0860043
107,-11219022952.109074,-6171876004.293677,30524222943.18246,9929933807.855246,2325135459.5988812,-627986772.9364628
108,-13426001809.260183,-222039600.6560297,31515791181.122303,5915937082.417284,2345961962.171935,-622516878.7660561
109,-13659435173.416975,5677909877.043215,31970719676.87518,1781690038.7785807,2366301802.686905,-616249345.2453992
110,-12349641539.078852,10972172864.177593,31870388389.055202,-2397461185.0349603,2387057086.2636766,-608602348.3289062
111,-9939436848.49707,15402307231.408697,31207845534.61364,-6542402961.361813,2409084464.7458096,-599564032.0700588
112,-6793740438.650536,18880243923.45814,29988750648.06957,-10572376053.722313,2433023058.214359,-589446097.1210725
113,-3194006125.722987,21401427283.64326,28231844945.755142,-14407370791.760006,2459281434.2243776,-578709711.8601359
114,644038751.5792384,22998354494.264435,25968859281.82938,-17970662115.113224,2488070830.7692347,-567865034.8093612
115,4551294374.7276745,23718078634.643032,23243816659.86171,-21191319955.365963,2519444438.018491,-557415032.84705
116,8389998381.156764,23612067493.414997,20111744636.81461,-24006518476.16191,2553333125.7047424,-547823244.3775793
117,12042324724.39217,22732228225.306973,16636873526.150742,-26363479421.958878,2589577023.2258167,-539495049.927028
118,15401859813.801891,21130114077.184753,12890448354.662338,-28220919579.432102,2627954065.395549,-532767715.71840745
119,18366955498.530567,18858005045.7183,8948316834.89199,-29549924268.664635,2668206394.781208,-527907258.3407281
120,20835191673.743393,15971455473.561047,4888466935.797133,-30334228343.188095,2710065015.448634,-525111489.35541946
121,22698427974.30009,12533485852.734043,788675888.9033351,-30569942873.970634,2753272707.3666,-524519342.4010451
122,23838202374.254963,8621135737.971527,-3275597722.056453,-30264810739.680145,2797604875.0532203,-526227315.21627706
123,24121702322.224854,4335788737.405401,-7232988223.015738,-29437102568.169212,2842887383.2499366,-530314972.126637
124,23399590701.36464,-180307913.66844273,-11017616668.540302,-28114274836.565735,2889008742.480424,-536883255.4042252
125,21509583766.74655,-4717612880.371551,-14570096942.433048,-26331506848.474934,2935919421.602313,-546111767.51696
126,18296031616.583855,-8958811000.26817,-17838177499.88323,-24130217214.820805,2983599538.6123166,-558342058.3022236
127,13669364884.385632,-12426443689.678736,-20777061577.007843,-21556638333.17362,3031951214.097661,-574182477.8894112
128,7747302270.825416,-14453765197.464005,-23349456335.175602,-18660503358.542038,3080538696.0170608,-594569577.6558077
129,1089570990.4372625,-14305328423.7333,-25525397765.266216,-15493876239.531532,3128154878.3563313,-620552806.7530774
130,-5194252699.845857,-11619845111.364756,-27281890095.463825,-12110127995.896992,3172620497.289935,-652484585.4902295
131,-9918740413.220716,-6882765921.555782,-28602427522.899414,-8563020167.602595,3211654625.896297,-689154993.2262872
132,-12544195491.351748,-1152458518.928094,-29476627089.082005,-4905848871.197496,3244201980.3959312,-728301286.826578
133,-13211177425.509308,4628641316.052235,-29900226920.178093,-1190872390.9061527,3270496518.321906,-767880409.2693416
134,-12335244974.178099,9898661769.191856,-29874904750.126144,2530747442.9399834,3291313719.916992,-806556897.2323611
135,-10337549716.100422,14392087865.301228,-29407555698.059414,6209088984.237965,3307469989.6094475,-843548579.6900334
136,-7562831036.649145,18008405896.326412,-28509682057.393353,9795863629.712748,3319667987.0888085,-878386871.3413564
137,-4277436429.128667,20727158960.447094,-27197051623.987785,13244756349.21991,3328490974.660409,-910762267.7107227
138,-687194707.8246083,22563713291.919468,-25489465011.0769,16511666357.645245,3334434381.632563,-940444260.5899189
139,3044398938.4069467,23547991703.14847,-23410560075.449863,19554898477.875717,3337938161.0441213,-967243279.171419
140,6781792890.226143,23714771789.26964,-20987639328.173466,22335340244.80828,3339412289.30286,-990993854.652905
141,10406552615.665495,23099720495.670948,-18251517759.979633,24816643912.795517,3339255820.032704,-1011548382.4112662
142,13809029454.717953,21738430482.613636,-15236387642.265636,26965425743.96705,3337871440.21731,-1028776516.1670552
143,16881513100.727242,19667310402.33459,-11979694123.659534,28751492062.345123,3335677356.107543,-1042568134.9185737
144,19512061193.82922,16926062382.70232,-8522012754.987037,30148099814.41279,3333117942.9213247,-1052839436.6896235
145,21578395381.09973,13562124435.455627,-4906917559.294696,31132257733.981487,3330674216.594564,-1059542890.7934508
146,22941491545.462337,9638172812.051695,-1180825828.6251812,31685072202.632572,3328874732.415462,-1062683090.1165776
147,23439011085.59081,5244860591.768825,2607196508.106501,31792139240.868343,3328306545.108859,-1062342521.4762958
148,22880189592.600906,522735307.43238544,6405687175.619671,31443980581.335613,3329623145.3967237,-1058724506.3338181
149,21048034100.631737,-4300229604.725088,10161117280.158207,30636517448.088688,3333538476.627438,-1052225130.0252972
150,17726099529.184963,-8848101884.258461,13818319070.627007,29371570706.760674,3340775090.8618693,-1043547704.1381696
151,12792509912.650505,-12519758894.424221,17321032439.46572,27657370883.425247,3351887714.930135,-1033848052.7039868
152,6448551548.470623,-14473501970.101324,20612590494.449703,25509056621.91319,3366838062.258388,-1024765784.3906319
153,-471031898.41422653,-13911347322.573084,23636763093.390854,22949135089.81505,3384418188.289563,-1017903211.1755791
154,-6612998918.09137,-10750154228.708277,26338770591.728813,20007868586.46318,3402456344.757998,-1013591117.0066196
155,-10949314650.23845,-5833630490.170229,28666462921.99283,16723531378.9897,3419364518.267842,-1010499661.9409553
156,-13257921929.174376,-236184720.86801052,30571643823.44616,13142464615.992222,3435016441.0195417,-1006921301.1729115
157,-13808587052.53578,5280555620.316818,32011515905.706417,9318868934.503351,3450160305.8355956,-1001770890.148579
158,-12989990042.500732,10299486729.216871,32950204934.519173,5314287241.332527,3465722763.900518,-994641132.135194
159,-11153671320.53353,14620695330.58788,33360292249.454296,1196734081.3443432,3482512415.457035,-985562867.497121
160,-8582263207.940095,18159069489.24478,33224258417.702877,-2960558096.344468,3501152806.3399887,-974809071.8356137
161,-5497679595.606918,20886103541.917645,32535723704.231907,-7080777288.452818,3522090236.703289,-962778021.0371722
162,-2076683086.327558,22799991190.53331,31300364413.595886,-11085518048.944124,3545617064.401609,-949926534.0614504
163,1535113843.0432472,23910761728.761208,29536392365.36521,-14897035419.516605,3571894687.0654674,-936729359.7246543
164,5212192778.385681,24233093704.179745,27274510110.05103,-18440645812.14008,3600974174.847037,-923651846.1128608
165,8840453135.427834,23783133546.81535,24557296143.48458,-21647123075.616684,3632815863.750634,-911130017.0911609
166,12310032215.840996,22577605547.412983,21438027547.750347,-24454924266.871998,3667309493.8083534,-899555869.8734349
167,15508797951.677448,20634555677.95897,17979004018.44796,-26812087514.75705,3704296034.151488,-889267607.2442445
168,18315785288.8269,17975757822.944824,14249487404.2372,-28677673842.5362,3743591868.409179,-880545609.0614973
169,20593921350.788116,14631469096.383686,10323405894.864862,-30022671225.32184,3785015671.706832,-873615887.8052993
170,22181532162.4024,10649163327.446571,6276986339.555911,-30830334223.102703,3828417954.332785,-868664186.0872718
171,22882702482.471222,6109520442.316672,2186470964.9550323,-31095986589.46443,3873712223.1353765,-865866594.2664802
172,22458702308.03382,1155888159.6334019,-1873950384.9661756,-30826358749.086773,3920902912.8042126,-865447719.4990886
173,20629783243.35075,-3952236930.4883995,-5833897613.423136,-30038561332.027817,3970092389.8474326,-867785244.5051501
174,17117312289.12412,-8750401858.543571,-9628191590.775555,-28758807916.009357,4021411489.2488704,-873581044.3201914
175,11800970391.076134,-12466379966.3512,-13197857503.702562,-27020995168.217632,4074735777.123631,-884058951.8863093
176,5075865208.014389,-14076689859.043827,-16490742747.199177,-24865227045.198368,4129031225.1604786,-900869287.5770247
177,-1855378084.1925764,-12882347201.8196,-19461782897.22489,-22336330755.70352,4181817617.50863,-925036791.8763167
178,-7559465764.794711,-9248313594.443829,-22073086326.167595,-19482397962.873875,4230231845.6863685,-955606811.0966178
179,-11337833269.430996,-4259768687.9230604,-24294193322.485283,-16353627746.198542,4272808097.7284403,-990285379.0845879
180,-13233502099.33615,1118231947.4182425,-26102131731.16796,-13001822356.709929,4309490818.038963,-1026990440.0297388
181,-13574015636.249577,6299575936.312321,-27480684748.06093,-9479768203.431686,4340788305.832593,-1064332334.9565861
182,-12708217307.653898,10978405642.42641,-28419703460.49813,-5840299082.953882,4367283715.284794,-1101437473.830146
183,-10929814624.049242,15005022163.859322,-28914701410.72715,-2135573925.6632352,4389491848.922988,-1137723937.3176963
184,-8472280370.046583,18309219963.83125,-28966507625.83737,1583409444.4841394,4407847727.174438,-1172763080.6011791
185,-5521428705.871055,20859814824.686073,-28580917446.32438,5267171276.464025,4422727709.610313,-1206207061.823601
186,-2229243175.8496957,22644071919.939693,-27768352384.64939,8868029436.930494,4434472975.724075,-1237752580.5451396
187,1274616798.061255,23657296871.56745,-26543543897.507523,12340325627.0055,4443408868.848434,-1267123027.7187977
188,4873625405.05353,23897637295.857132,-24925249566.891693,15640614533.839397,4449860163.260414,-1294060018.0475986
189,8456718632.635748,23363719963.97299,-22936004861.189323,18727829871.879475,4454163742.018083,-1318320011.1061945
190,11911256894.887924,22054100021.439365,-20601909908.45826,21563440063.187176,4456680311.370025,-1339674210.2303114
191,15115753056.17749,19968315313.534348,-17952447964.484592,24111605212.939095,4457806733.415754,-1357911426.287267
192,17931462613.481625,17110054768.735004,-15020330046.42703,26339345871.059116,4457990608.709274,-1372844905.6007783
193,20191871596.56885,13493948046.912195,-11841358267.299835,28216732780.15494,4457748841.90187,-1384325952.9325337
194,21689287732.65859,9159311638.597218,-8454298629.550962,29717105347.43383,4457691599.903197,-1392270539.7468266
195,22159151858.954517,4197779726.095111,-4900752400.909334,30817324938.647038,4458550461.98381,-1396711698.4077017
196,21268870112.126022,-1191789556.4086695,-1225013713.687549,31498067394.21482,4461198159.854026,-1397902399.31538
197,18639670159.619137,-6601162719.111256,2526100377.264832,31744157733.261456,4466607311.939272,-1396505721.0522559
198,13987751609.000072,-11266450843.561989,6303462705.376382,31544949353.801758,4475589116.038979,-1393866585.2291942
199,7522756237.352798,-14048743490.775812,10055908816.720646,30894750286.268417,4488057598.490367,-1392049938.5707123
200,381954741.59805775,-14010725382.463337,13730587937.973984,29793296687.362873,4502227599.875199,-1392781161.423287
201,-5893298501.71216,-11321960186.620438,17273408821.315166,28246257137.202682,4515576748.872199,-1395781114.063325
202,-10450034295.545076,-6993848767.087929,20629599518.605473,26265727650.365074,4526854963.963554,-1399257360.1534035
203,-13206135911.306023,-1992452058.1443682,23744407344.136673,23870688484.788765,4536232284.9000225,-1401541400.9060457
204,-14403721703.292942,3061624841.314106,26563959943.16719,21087405858.55465,4544470962.266675,-1401643972.352873
205,-14338686751.447721,7819179506.964709,29036296229.39983,17949742915.347233,4552421109.107603,-1399120433.288384
206,-13273441528.86392,12089681852.029652,31112564403.23137,14499326578.933445,4560852897.921098,-1393864047.834658
207,-11423119257.261507,15767810034.338108,32748369698.60013,10785509027.941711,4570423239.135408,-1385970407.6002538
208,-8962540598.59626,18792802280.571476,33905235224.8522,6865061034.470842,4581680039.590575,-1375660740.9133873
209,-6036713314.039005,21126698870.88761,34552116289.8433,2801539655.8252482,4595072660.044894,-1363238114.5113385
210,-2770420879.139189,22742596495.71319,34666884542.77464,-1335713184.8061519,4610960871.278006,-1349059915.9847755
211,723674209.5868788,23618188530.763477,34237677114.814983,-5472960403.168549,4629621865.93394,-1333517796.3306038
212,4337940321.422932,23732212274.02165,33263992530.422245,-9533832737.247406,4651256889.791527,-1317020777.6491117
213,7962966095.763525,23062692757.968544,31757414440.245605,-13441408727.905998,4675999542.291614,-1299979810.4898765
214,11480177626.840878,21586649926.20845,29741859892.708454,-17120512435.274246,4703927921.727008,-1282793749.4796326
215,14752852092.43694,19281620306.39006,27253281966.33549,-20500092286.443607,4735082927.111632,-1265838195.8706522
216,17614203231.448124,16130324683.777672,24338804464.260433,-23515520539.67794,4769495288.056094,-1249460602.2317574
217,19850936857.10898,12131717591.16247,21055322537.938515,-26110648502.515945,4807224075.10374,-1233988568.5627654
218,21181212656.29206,7325738132.931164,17467658422.30426,-28239470232.33332,4848408127.007219,-1219765679.7698715
219,21230737478.534702,1847536420.8189325,13646406428.182228,-29867284271.43663,4893322744.277653,-1207244595.551001
220,19532281927.702766,-3960021903.437566,9665628679.845884,-30971291007.103416,4942394103.111942,-1197190825.2293518
221,15644476936.544441,-9356491373.59839,5600568738.205172,-31540609775.19276,4995993800.47843,-1191032437.2256422
222,9590568413.296906,-13097915749.10468,1525524350.785767,-31575732472.580376,5053642968.036818,-1191058435.048024
223,2456891414.037611,-14019501525.32256,-2488097241.3227844,-31087501236.570396,5112921044.152212,-1199351227.5366573
224,-4098147722.200529,-12144619524.041714,-6373664624.212334,-30096128061.631245,5170381499.823381,-1215749135.3918052
225,-9107561940.005003,-8454659797.793154,-10070466920.877071,-28630638937.207806,5223886437.570207,-1238273677.4453232
226,-12413814700.871178,-3913984649.3745975,-13523943036.181377,-26727324129.838036,5272825399.982077,-1264935112.1169975
227,-14201922632.38173,848595904.2489414,-16686168565.866829,-24427858802.576168,5317258006.090285,-1294330323.2525856
228,-14724551047.701992,5467750777.106936,-19516237598.742718,-21777925749.64413,5357409702.4698,-1325518113.6174104
229,-14212830722.73888,9733079538.336977,-21980334610.00937,-18826075476.979805,5393507872.178312,-1357825903.3124435
230,-12859643574.607466,13518744560.104774,-24051588553.96648,-15622714013.73138,5425750183.646562,-1390726022.9531677
231,-10823815346.845188,16744175130.036802,-25709789593.40856,-12219220005.93285,5454310652.904847,-1423768495.7368681
232,-8238541459.5998,19352568329.218456,-26941022855.396812,-8667197822.782005,5479353018.1223545,-1456545810.4013588
233,-5219592989.050877,21298855986.85586,-27737259336.19235,-5017862889.814887,5501043457.568531,-1488674358.6615384
234,-1872588648.4831238,22542690632.73206,-28095934283.09284,-1321547404.211422,5519561513.261131,-1519784413.2496417
235,1700299768.0944886,23044179440.472683,-28019535386.27342,2372689880.233364,5535110028.3871765,-1549514558.1443987
236,5393494438.079969,22761277997.181923,-27515216366.51915,6017367985.220581,5547925505.532503,-1577508672.8673587
237,9090064584.328884,21648504929.78635,-26594445935.263546,9566820560.248589,5558290688.072305,-1603414954.3261616
238,12651392908.733047,19657359319.837708,-25272697537.86014,12977382885.67609,5566551778.105954,-1626887783.3541408
239,15902606308.757442,16739980864.732994,-23569181637.250866,16207545342.014053,5573143708.02497,-1647595368.948649
240,18611262853.15947,12860058595.908447,-21506619416.48214,19218088096.81041,5578628079.96615,-1665240637.1682112
241,20457077708.92182,8020667190.417527,-19111054575.484753,21972210174.997185,5583747838.851946,-1679613274.8107054
242,20996885491.915466,2331058637.93964,-16411698329.792582,24435664744.249813,5589490916.796927,-1690713581.7079716
243,19661529157.70377,-3846902010.739048,-13440801807.187063,26576911785.754993,5597095216.1985855,-1699023162.9328845
244,15927009544.986065,-9657665055.133118,-10233549859.192883,28367299766.92339,5607732657.125885,-1705950150.2161777
245,9899835370.30249,-13701255875.793852,-6827970656.13667,29781288388.339394,5621430185.975936,-1713923994.1140785
246,2853267236.791258,-14888782264.479841,-3264853391.225525,30796717723.183678,5636081305.591446,-1724820839.3766017
247,-3632462359.9138403,-13421094113.785513,412344948.72842836,31395111002.894386,5649029604.319433,-1738162199.3594916
248,-8746061688.227848,-10225002105.644154,4157630814.219573,31562005378.951904,5659050269.27265,-1752155619.394953
249,-12343731155.53235,-6136087250.198943,7922657581.365206,31287331153.380146,5666162098.454126,-1765202510.804021
250,-14551239873.46406,-1708574103.8204536,11656972860.131067,30565848352.48281,5670892907.096123,-1776251006.5287209
251,-15556894379.897743,2716214643.2268324,15308349014.450779,29397631403.553955,5673896149.248425,-1784672683.4801161
252,-15541329470.284475,6925916735.52979,18823220105.042213,27788585564.622536,5675818998.637679,-1790110937.9623625
253,-14660919146.582457,10781890945.568892,22147248898.95506,25750973520.53582,5677268456.988086,-1792382301.9563043
254,-13048299529.62458,14186902918.003527,25226045964.69943,23303923218.61824,5678808097.210794,-1791419887.2522936
255,-10817440578.204441,17066397934.146292,28006058544.533157,20473878707.895985,5680962191.017183,-1787241527.900563
256,-8069473082.980634,19357290218.260715,30435638783.862137,17294945676.437695,5684220175.452466,-1779931153.2945287
257,-4898434688.651968,21000861165.589165,32466288155.03857,13809074207.3983,5689039936.193323,-1769626776.2822971
258,-1397115826.1896105,21937925300.580498,34054057203.18726,10066015067.081295,5695850363.365879,-1756511330.2922707
259,2336362970.1780133,22105323178.929916,35161057520.58048,6122985046.756411,5705054596.233484,-1740804243.737936
