uur,m1x,m1y,m2x,m2y,Mx,My
121,229864255.05420575,-385488705.5521676,214562372.78223386,-629840472.0111839,156231.44803014322,409308.6629452088
122,276593751.5874227,-349429641.8889096,167319233.80944312,-645812480.3157163,156478.1619085234,410952.27986452513
123,318203230.1226757,-306891597.1375466,119153569.14541073,-658216395.6960016,156989.15095849914,412200.76641714684
124,353776149.3362069,-258521228.86712903,70336517.97427434,-667013277.3101901,157800.69042555857,413083.5692442134
125,382453330.8139268,-205101717.84033525,21138456.835876994,-672184657.6214901,158946.37536955875,413637.0774488391
126,403454466.32972336,-147555820.44289154,-28172500.76500205,-673732081.9359244,160456.14648514966,413904.75459752296
127,416103572.5290702,-86945629.77786773,-77331931.15068583,-671676500.8303744,162355.12829791708,413937.112112637
128,419858116.02520776,-24467390.04287389,-126080420.35282694,-666057557.0150582,164662.29192899866,413791.44720508304
129,414340972.422402,38560467.24000512,-174164771.73269358,-656932795.245273,167388.98165744432,413531.25988449523
130,399373635.54902995,100717891.17317441,-221339102.31736317,-644376815.2252467,170537.379834049,413225.263619117
131,375008217.1298077,160513905.23698613,-267365831.0261982,-628480383.12446,174099.02598260177,412945.91843337455
132,341554896.231008,216428230.20405844,-312016563.2481457,-609349514.7257959,178053.54741155275,412767.44896681345
133,299600798.0609516,266963442.97443864,-355072877.16839695,-587104541.2731469,182367.7906716136,412763.3662799758
134,250016073.18046993,310705648.91622144,-396327017.9368327,-561879167.411984,186995.55302556677,413003.58881869965
135,193943480.89723432,346389793.228089,-435582506.25270116,-533819529.0960936,191878.08803922925,413551.34506734146
136,132769216.13339233,372964046.84327793,-472654668.23533446,-503083257.9268998,196945.49185529037,414460.11991632247
137,68074990.23610279,389646667.0303771,-507371093.58451116,-469838557.0837542,202118.969834442,415770.95546007337
138,1574118.4468975514,395968797.5037988,-539572029.0283189,-434263292.78502184,207313.85419923224,417510.4138678889
139,-64963033.869112656,391798040.4708252,-569110713.9259789,-396544104.0808363,212443.1209869201,419689.4455821169
140,-129787117.73513517,377340124.2630285,-595853664.6420572,-356875532.7076981,217421.07101479135,422303.2888353288
141,-191243790.25439832,353119053.06668204,-619680913.9243308,-315459173.72035986,222166.8178543059,425332.3823153669
142,-247836997.1809259,319939016.29024374,-640486210.9577492,-272502846.6454175,226607.2709386476,428744.1367323804
143,-298276979.38060176,278833391.1849914,-658177186.9203157,-228219785.9699229,230679.3989112209,432495.3142603433
144,-341511000.8029155,231007036.0738377,-672675489.4495049,-182827848.95115602,234331.67907023864,436534.72415747
145,-376737231.9762928,177777766.09840903,-683916886.7509004,-136548738.4780984,237524.75335234994,440805.9572375804
146,-403404064.4464699,120521748.15135926,-691851337.0191594,-89607241.60035858,240231.3978259957,445249.9363026356
147,-421198176.8175761,60625994.45295825,-696443015.3173928,-42230501.732316755,242435.96176458022,449807.13336796814
148,-430024935.963863,-550412.2174148485,-697670342.0909232,5352606.755142465,244133.4460576588,454419.37856913253
149,-429984326.5118473,-61706096.296279356,-695526276.5758132,52912037.52525662,245328.37788345496,459031.2473540304
150,-421345224.0788745,-121619096.71059546,-690018713.4584937,100217597.98862085,246033.61005041187,463591.0560782062
151,-404520466.70105964,-179161434.22467205,-681170167.3204635,147040000.0850414,246269.1398901578,468051.5209645054
152,-380043664.2957642,-233307669.2030168,-669017518.8129728,193151429.95869452,246061.01150264402,472370.14642106765
153,-348548396.5877825,-283139175.81428623,-653612043.0861174,238326186.23296547,245440.33753913146,476509.4100422265
154,-310750257.67665803,-327845466.66162425,-635019441.7672708,282341437.79313207,244442.4550365473,480436.80578164087
155,-267431763.31381157,-366723642.21719545,-613319826.8186132,324978025.5244287,243106.21475272183,484124.79776800616
156,-219429895.7762523,-399176862.6451383,-588607663.7175578,366021287.46879226,241473.39359702545,487550.7275225888
157,-167625934.95759463,-424712555.5164625,-560991677.9329858,405261906.16460586,239588.21372113,490696.70818697877
158,-112937154.56243044,-442940904.5639994,-530594723.2566619,442496780.0270419,237496.94841603524,493549.5313685002
159,-56309925.183492355,-453574021.9565636,-497553607.72094,477529920.27554756,235247.59314375866,496100.60550566495
160,1286254.2718378827,-456426088.1828157,-462018871.3526235,510173373.95847887,232889.57903871278,498345.9391089259
161,58864290.14253219,-451414643.28508246,-424154509.1297373,540248172.5503961,230473.50549481992,500286.17753672594
162,115425102.40678641,-438563122.35694766,-384137631.92814445,567585304.456483,228050.86766291637,501926.69772144227
163,169963839.37693766,-418004637.1717455,-342158057.86684424,592026708.5386744,225673.75365573447,503277.76100606075
164,221477256.53960964,-389986904.0680963,-298417826.25903356,613426284.4682618,223394.4850115488,504354.7194976555
165,268972843.9522872,-354878095.00084317,-253130626.35615623,631650914.3086283,221265.1727167905,505178.26558060816
166,311480303.80435014,-313173233.6084063,-206521133.25287578,646581488.2473236,219337.16028323007,505774.70697311574
167,348065971.8493971,-265500562.75350496,-158824243.72619733,658113925.8452117,217660.32575740444,506176.2405546161
168,377850720.4191423,-212627070.2449226,-110284205.43703955,666160182.5753416,216282.21719170155,506421.1869496072
169,400031745.99989647,-155462079.99242845,-61153633.85104982,670649229.8145523,215247.0024702939,506554.1347429949
170,413908394.1765359,-95057515.91137896,-11692412.457393609,671527994.857623,214594.22618718434,506625.9291275615
171,418911771.5482126,-32603166.36694938,37833526.60439682,668762245.9717119,214357.3852867899,506693.42666900886
172,414637310.380644,30584913.232462324,87153542.54135302,662337405.9962935,214562.3626996898,506818.9289624758
173,400878687.39003134,93084724.1193591,135993745.32708734,652259276.444771,215225.79423350902,507069.20789777994
174,377660604.5968913,153398932.56553185,184078570.5296417,638554652.2182548,216353.4860957473,507514.0496970532
175,345267044.0655868,209996592.57432696,231132461.19730192,621271804.3045152,217939.04270608936,508224.2792573473
176,304260922.6129223,261365597.39274317,276881638.51622146,600480804.1725582,219962.89697725745,509269.28360326804
177,255490879.5419754,306073815.93135965,321055913.8850948,576273672.6472348,222391.94506234635,510714.1310705503
178,200081489.9342276,342834932.13948476,363390468.5327051,548764458.0133855,225179.96190849936,512616.4709604354
179,139404445.4349661,370573218.1595481,403627906.5963262,518089507.8195279,228268.9055560504,515023.47847148846
180,75030546.32799372,388481035.2902619,441520868.7823029,484407054.85003805,231591.11027308577,517969.15920116776
181,8665999.592091426,396062493.5586226,476833907.0983211,447896060.11740965,235072.23692978325,521472.32380585955
182,-57921878.784809776,393157534.92392635,509345199.47582495,408755404.41011107,238634.7260524445,525535.4751011869
183,-122982630.4125841,379944069.94269013,538848484.7071419,367202947.5138948,242201.41796377665,530144.731302643
184,-184856602.86412555,356918681.0168527,565154968.4364161,323474293.0207777,245698.98455859305,535270.7653581896
185,-242038260.77024698,324859166.5020354,588095108.7991322,277821301.2544874,249060.86353803836,540870.6052113757
186,-293224339.3036966,284774232.2108131,607520249.0820715,230510382.06834105,252229.48320233164,546890.0444688332
187,-337344873.8899009,237846478.3391341,623304070.9653255,181820590.5831366,255157.6859439295,553266.3735654462
188,-373577545.8676247,185374511.37849027,635343842.7791829,132041549.4447656,257809.37178084036,559931.1564943806
189,-401347591.3731223,128718857.58016181,643561439.3602325,81471224.47490898,260159.46827789428,566812.8323453374
190,-420316541.24575305,69254806.21165767,647904113.6853263,30413584.22115898,262193.38113828294,573838.9936660344
191,-430363341.1304723,8333762.604276821,648345005.1152878,-20823822.96284537,263906.09287150105,580938.266442423
192,-431561133.68609464,-52746594.976774186,644883374.4562705,-71932338.41427705,265301.06423043,588041.7769529708
193,-424152400.82554865,-112763970.57219574,637544561.854912,-122604672.11291367,266389.06548146735,595084.2335437372
194,-408524465.47274673,-170586069.40720758,626379669.5129461,-172537353.84552127,267187.03155230655,602004.6765728447
195,-385186679.9982397,-225179560.90674752,611464977.079644,-221433120.33343467,267717.003314275,608746.9605732316
196,-354750059.2641801,-275614779.3732257,592901103.1150575,-269003204.1236553,268005.19032839866,615260.0333475047
197,-317909677.2985561,-321067438.52965534,570811930.9964019,-314969493.04037845,268081.1696035112,621498.0712633203
198,-275429833.52607805,-360818455.6652014,545343321.8769422,-359066532.7814457,267977.220073586,627420.5216208659
199,-228131786.5478438,-394252783.39584225,516661640.64434737,-401043349.6264636,267727.7826317278,632992.0937700231
200,-176883724.7012769,-420857959.22696644,484952123.1243163,-440665074.95919865,267369.0294407125,638182.7319355557
201,-122592568.0205526,-440222918.2124318,450417113.87680703,-477714358.07048154,266938.5227009318,642967.5950693798
202,-66197154.58778063,-452037475.5821977,413274203.58054626,-511992557.91907954,266474.9411064103,647327.062641373
203,-8662339.159034133,-456092772.2488309,373754292.798936,-543320706.6955218,266017.85109377356,651246.7799720046
204,49026487.90646004,-452282882.8432851,332099605.52151805,-571540233.3269483,265607.4991406011,654717.7522022687
205,105868967.27633333,-440607712.26317066,288561686.7148899,-596513410.005333,265284.60044178274,657736.4918960326
206,160855879.33246756,-421177225.0737831,243399557.84657952,-618123472.8194525,265090.09808197204,660305.2211243167
207,212976161.54010552,-394216631.8825361,196878433.54279768,-636274959.7663978,265064.8652555384,662432.1240815509
