dag,m1x,m1y,m2x,m2y,Mx,My
1130000,-5947042841151494.0,1673829198209487.0,1054807527233885.6,-1989110584145608.5,287119235239.63904,51173883619.987526
1131000,-5952305706241494.0,1675310461562987.0,1055740982894443.1,-1990870855363122.0,287373322852.9203,51219170140.325226
1132000,-5957568571331494.0,1676791724916487.0,1056674438554929.9,-1992631126580515.2,287627410466.20154,51264456660.65756
1133000,-5962831436421494.0,1678272988269987.0,1057607894215304.9,-1994391397797765.2,287881498079.4828,51309743180.987526
1134000,-5968094301511494.0,1679754251623487.0,1058541349875596.2,-1996151669014789.0,288135585692.76404,51355029701.31223
1135000,-5973357166601494.0,1681235514976987.0,1059474805535817.8,-1997911940231694.8,288389673306.0453,51400316221.634514
1136000,-5978620031691494.0,1682716778330487.0,1060408261195942.8,-1999672211448444.8,288643760919.32654,51445602741.95159
1137000,-5983882896781494.0,1684198041683987.0,1061341716855969.8,-2001432482664983.2,288897848532.6078,51490889262.26625
1138000,-5989145761871494.0,1685679305037487.0,1062275172515927.8,-2003192753881405.5,289151936145.88904,51536175782.5757
1139000,-5994408626961494.0,1687160568390987.0,1063208628175802.8,-2004953025097655.5,289406023759.1703,51581462302.88278
1140000,-5999671492051494.0,1688641831744487.0,1064142083835567.2,-2006713296313712.8,289660111372.45154,51626748823.1846
1141000,-6004934357141494.0,1690123095097987.0,1065075539495263.8,-2008473567529655.8,289914198985.7328,51672035343.48417
1142000,-6010197222231494.0,1691604358451487.0,1066008995154888.8,-2010233838745405.8,290168286599.01404,51717321863.77836
1143000,-6015460087321494.0,1693085621804987.0,1066942450814392.6,-2011994109960985.8,290422374212.2953,51762608384.07046
1144000,-6020722952411494.0,1694566885158487.0,1067875906473829.4,-2013754381176453.8,290676461825.57654,51807894904.35702
1145000,-6025985817501494.0,1696048148511987.0,1068809362133199.4,-2015514652391703.8,290930549438.8578,51853181424.64171
1146000,-6031248682591494.0,1697529411865487.0,1069742817792449.4,-2017274923606810.8,291184637052.13904,51898467944.92064
1147000,-6036511547681494.0,1699010675218987.0,1070676273451628.2,-2019035194821808.0,291438724665.4203,51943754465.197975
1148000,-6041774412771494.0,1700491938572487.0,1071609729110741.4,-2020795466036558.0,291692812278.70154,51989040985.46928
1149000,-6047037277861494.0,1701973201925987.0,1072543184769741.4,-2022555737251196.2,291946899891.9828,52034327505.73931
1150000,-6052300142951494.0,1703454465279487.0,1073476640428664.2,-2024316008465696.2,292200987505.26404,52079614026.00298
1151000,-6057563008041494.0,1704935728632987.0,1074410096087522.4,-2026076279679977.0,292455075118.5453,52124900546.26578
1152000,-6062825873131494.0,1706416991986487.0,1075343551746272.4,-2027836550894151.0,292709162731.82654,52170187066.52182
1153000,-6068088738221494.0,1707898255339987.0,1076277007404941.2,-2029596822108151.0,292963250345.1078,52215473586.77743
1154000,-6073351603311494.0,1709379518693487.0,1077210463063546.2,-2031357093321969.2,293217337958.38904,52260760107.02584
1155000,-6078614468401494.0,1710860782046987.0,1078143918722046.2,-2033117364535683.2,293471425571.6703,52306046627.274254
1156000,-6083877333491494.0,1712342045400425.5,1079077374380463.0,-2034877635749183.2,293725513184.95154,52351333147.51509
1157000,-6089140198581292.0,1713823308753675.5,1080010830038816.9,-2036637906962543.8,293979600798.2328,52396619667.755875
1158000,-6094403063670292.0,1715304572106925.5,1080944285697066.9,-2038398178175793.8,294233688411.51404,52441906187.98965
1159000,-6099665928759292.0,1716785835460175.5,1081877741355233.4,-2040158449388801.8,294487776024.7953,52487192708.2228
1160000,-6104928793848292.0,1718267098813425.5,1082811197013338.0,-2041918720601708.8,294741863638.07654,52532479228.44955
1161000,-6110191658937292.0,1719748362166675.5,1083744652671338.0,-2043678991814458.8,294995951251.3578,52577765748.67507
1162000,-6115454524026292.0,1721229625519925.5,1084678108329256.2,-2045439263027015.5,295250038864.63904,52623052268.89486
1163000,-6120717389115292.0,1722710888873175.5,1085611563987113.6,-2047199534239473.2,295504126477.9203,52668338789.112755
1164000,-6125980254204292.0,1724192152226425.5,1086545019644863.6,-2048959805451723.2,295758214091.20154,52713625309.32564
1165000,-6131243119293292.0,1725673415579675.5,1087478475302535.6,-2050720076663833.0,296012301704.4828,52758911829.535904
1166000,-6136505984382292.0,1727154678932925.5,1088411930960147.8,-2052480347875833.0,296266389317.76404,52804198349.74194
1167000,-6141768849471292.0,1728635942286175.5,1089345386617647.8,-2054240619087596.0,296520476931.0453,52849484869.94458
1168000,-6147031714560292.0,1730117205639425.5,1090278842275075.5,-2056000890299263.2,296774564544.32654,52894771390.14383
1169000,-6152294579649292.0,1731598468992675.5,1091212297932444.2,-2057761161510763.2,297028652157.6078,52940057910.33884
1170000,-6157557444738292.0,1733079732345925.5,1092145753589694.2,-2059521432722086.0,297282739770.88904,52985344430.53136
1171000,-6162820309827292.0,1734560995699175.5,1093079209246879.6,-2061281703933315.2,297536827384.1703,53030630950.718735
1172000,-6168083174916292.0,1736042259052425.5,1094012664904004.6,-2063041975144315.2,297790914997.45154,53075917470.90459
1173000,-6173346040005292.0,1737523522405675.5,1094946120561007.1,-2064802246355202.2,298045002610.7328,53121203991.084335
1174000,-6178608905094292.0,1739004785758925.5,1095879576217952.2,-2066562517565952.2,298299090224.01404,53166490511.26357
1175000,-6183871770183292.0,1740486049112175.5,1096813031874827.2,-2068322788776498.0,298553177837.2953,53211777031.43569
1176000,-6189134635272292.0,1741967312465425.5,1097746487531590.5,-2070083059986953.8,298807265450.57654,53257063551.60781
1177000,-6194397500361292.0,1743448575818675.5,1098679943188297.4,-2071843331197203.8,299061353063.8578,53302350071.77287
1178000,-6199660365450292.0,1744929839171925.5,1099613398844922.4,-2073603602407320.8,299315440677.13904,53347636591.93736
1179000,-6204923230539292.0,1746411102525175.5,1100546854501448.4,-2075363873617320.8,299569528290.4434,53392923112.095924
1180000,-6210186095628292.0,1747892365878425.5,1101480310157919.0,-2077124144827100.0,299823615903.7857,53438209632.252785
1181000,-6215448960717292.0,1749373629231675.5,1102413765814294.0,-2078884416036792.5,300077703517.128,53483496152.40492
1182000,-6220711825806292.0,1750854892584925.5,1103347221470584.8,-2080644687246292.5,300331791130.4703,53528782672.55415
1183000,-6225974690895292.0,1752336155938175.5,1104280677126821.2,-2082404958455649.8,300585878743.81256,53574069192.69991
1184000,-6231237555984292.0,1753817419291425.5,1105214132782946.2,-2084165229664899.8,300839966357.15485,53619355712.841515
1185000,-6236500421073292.0,1755298682644675.5,1106147588439003.9,-2085925500873922.8,301094053970.49713,53664642232.980965
1186000,-6241763286162292.0,1756779945997925.5,1107081044095003.9,-2087685772082862.8,301348141583.8394,53709928753.11494
1187000,-6247026151251292.0,1758261209351175.5,1108014499750883.2,-2089446043291612.8,301602229197.1817,53755215273.24814
1188000,-6252289016340292.0,1759742472704425.5,1108947955406709.9,-2091206314500220.8,301856316810.524,53800501793.37448
1189000,-6257551881429292.0,1761223736057675.5,1109881411062459.9,-2092966585708720.8,302110404423.8663,53845788313.500824
1190000,-6262814746518292.0,1762704999410925.5,1110814866718109.2,-2094726856916998.0,302364492037.20856,53891074833.62021
1191000,-6268077611607292.0,1764186262764175.5,1111748322373706.9,-2096487128125195.8,302618579650.55084,53936361353.73892
1192000,-6273340476696292.0,1765667526117425.5,1112681778029206.9,-2098247399333195.8,302872667263.8931,53981647873.85217
1193000,-6278603341785292.0,1767148789470675.5,1113615233684628.4,-2100007670541065.2,303126754877.2354,54026934393.96326
1194000,-6283866206874292.0,1768630052823925.5,1114548689339999.2,-2101767941748815.2,303380842490.5777,54072220914.07045
1195000,-6289129071963292.0,1770111316177175.5,1115482144995249.2,-2103528212956357.5,303634930103.92,54117507434.173904
1196000,-6294391937052292.0,1771592579530425.5,1116415600650445.0,-2105288484163823.8,303889017717.26227,54162793954.27509
1197000,-6299654802141292.0,1773073842883478.0,1117349056305570.0,-2107048755371073.8,304143105330.60455,54208080474.37092
1198000,-6304917667230292.0,1774555106236478.0,1118282511960591.1,-2108809026578215.2,304397192943.94684,54253366994.46616
1199000,-6310180532319292.0,1776036369589478.0,1119215967615563.2,-2110569297785215.2,304651280557.2891,54298653514.55436
1200000,-6315443397408292.0,1777517632942478.0,1120149423270438.2,-2112329568992033.2,304905368170.6314,54343940034.642555
1201000,-6320706262497292.0,1778998896295478.0,1121082878925236.9,-2114089840198779.0,305159455783.9737,54389226554.7243
1202000,-6325969127586292.0,1780480159648478.0,1122016334579986.9,-2115850111405279.0,305413543397.316,54434513074.80486
1203000,-6331231992674717.0,1781961423001478.0,1122949790234612.6,-2117610382611703.8,305667631010.65826,54479799594.88079
1204000,-6336494857762717.0,1783442686354478.0,1123883245889191.0,-2119370653817953.8,305921718624.00055,54525086114.95373
1205000,-6341757722850717.0,1784923949707478.0,1124816701543691.0,-2121130925024058.5,306175806237.34283,54570372635.0239
1206000,-6347020587938717.0,1786405213060478.0,1125750157198097.5,-2122891196230058.5,306429893850.6851,54615659155.08921
1207000,-6352283453026717.0,1787886476413478.0,1126683612852367.5,-2124651467435844.8,306683981464.0274,54660945675.1537
1208000,-6357546318114717.0,1789367739766478.0,1127617068506617.5,-2126411738641563.5,306938069077.3697,54706232195.21138
