dag,iox,ioy,eux,euy,Mx,My
1190,-351855511.8363366,228418283.03398484,-79306576.07538043,-642186714.5129464,0,0
1200,451353612.1149316,11913786.795008674,-654306556.0487839,-91711567.55756903,0,0
1210,-380662122.732572,-107113037.96508998,-326842420.4945683,607662758.7270042,0,0
1220,372812860.1826125,263102878.44241914,423580308.30526817,554525304.0077065,0,0
1230,-163946076.04514697,-375467416.3150271,653418210.6703099,-170087283.09918365,0,0
1240,135572029.0311616,409475323.7921676,28874014.255831204,-648519750.5748917,0,0
1250,138809233.68422619,-420747043.5446213,-626036041.9254053,-192402665.13147813,0,0
1260,-183155548.7198135,355738442.200518,-402621569.0245451,553347664.4318055,0,0
1270,365158201.66883117,-277062964.4012151,350302736.6903441,604857477.183883,0,0
1280,-393131982.1869575,77498678.60423043,677582145.9788816,-76602067.9740274,0,0
1290,441817473.9920716,-19505849.80092726,135632747.00856513,-638794898.8008784,0,0
1300,-357818091.4135582,-242550410.0692972,-582411541.1051594,-289643251.9274413,0,0
1310,315058410.7202957,260579608.23209196,-471444646.25649476,487022359.70621127,0,0
1320,-153002521.88637045,-430215293.69796985,270580753.11714685,643907579.9071716,0,0
1330,-2924641.2539045736,395634518.8476794,687718506.2470407,16949633.97527515,0,0
1340,110292768.40488231,-437236047.8273709,238040460.01314285,-613816061.7787507,0,0
1350,-316845381.2340251,276393441.3641635,-524067402.5431036,-380526405.2929944,0,0
1360,335880491.0200325,-252231711.37354836,-531539236.4640683,409396911.4644455,0,0
1370,-450831619.1811347,17819755.629892282,185516669.49690217,671079255.9156556,0,0
1380,387376015.78480035,80022902.91855669,684294087.9740254,108862132.95532759,0,0
1390,-389400434.17794067,-238208982.84237137,333574816.94338936,-574930129.9739531,0,0
1400,189301970.74546468,362799577.9325379,-452342689.698475,-462236944.6507405,0,0
1410,-163022906.8553285,-399922663.7615652,-581045224.7368643,321561530.17194283,0,0
1420,-110430663.52742973,428598114.79576814,96271922.3710585,685776328.4818585,0,0
1430,157916820.00428355,-367993507.4120075,667875661.0488546,197675953.63725725,0,0
1440,-346265482.2352644,300345612.22432446,420217918.82218355,-523834277.93170446,0,0
1450,386419397.4462703,-104748509.33694643,-369243895.93634695,-532294409.5385635,0,0
1460,-440001660.6423783,48882523.32355078,-618122875.7760525,225075140.00537485,0,0
1470,372858503.4715384,217663102.62548798,4135222.5619581416,687407189.0774088,0,0
1480,-332725828.0067498,-238429979.0783754,639064338.8165514,282120575.2211247,0,0
1490,180784192.7843454,419110729.05299836,496467911.4553266,-462385561.67410815,0,0
1500,-24973291.69418431,-394737928.29306984,-277303767.348211,-588764513.1639818,0,0
1510,-81314714.0719429,443877937.78145057,-641111782.4302578,122013629.08184779,0,0
1520,296862692.869387,-296978488.87176317,-89410202.25156254,675420358.9438976,0,0
1530,-318307634.53542614,274914260.7744654,598463398.1678809,361046489.207722,0,0
1540,448346523.99183184,-47442348.00738207,561284904.0080489,-392446457.34029704,0,0
1550,-392174197.5714544,-52525157.64973671,-179363909.65010867,-630390206.620255,0,0
1560,404317926.19999313,212272720.73504737,-648722991.1126857,14949844.71231731,0,0
1570,-213709933.89243394,-348419575.9129727,-182631404.1901208,649373544.2774185,0,0
1580,189784496.071358,388535596.15941095,546676980.571237,433357407.39492494,0,0
1590,81607347.13343742,-434537397.8622484,613999483.1544716,-315782267.7626392,0,0
1600,-131875563.26973954,378462863.53137827,-78331537.15358055,-656617739.0032924,0,0
1610,325884942.4171033,-322337610.4566621,-640229059.4562415,-93153414.97845846,0,0
1620,-377826162.74399066,131454274.14969933,-273517031.682541,609035096.9491699,0,0
1630,436230410.767747,-78088440.27220562,484336071.038723,497950928.7263561,0,0
1640,-386179890.16335577,-191835052.53514618,654209944.7988654,-234011217.4636189,0,0
1650,348831199.7256691,215101332.45960975,23036541.93596489,-667525142.7012199,0,0
1660,-207769746.92847914,-406205659.71860653,-615605620.3359201,-199134858.29008335,0,0
1670,52736231.30548171,391887394.2544078,-359792064.94167984,554510090.1396028,0,0
1680,51949785.22741494,-448591992.78829736,412147895.4004263,553674819.6455278,0,0
1690,-275535656.8615351,316140638.5907967,681687227.8020077,-148599041.7753116,0,0
1700,299217677.72916764,-296359629.88669044,122285701.0957948,-663685302.1057651,0,0
1710,-443910127.1875727,76824252.38666157,-575582308.6309891,-299880380.1638412,0,0
1720,395032871.91953194,24754814.55955513,-438991599.31611055,486373256.6277734,0,0
1730,-417500197.7251992,-185406383.42574525,330964229.4947872,599306116.318125,0,0
1740,237054168.39654726,332396829.98713905,696298911.2022239,-60886552.62993085,0,0
1750,-215734724.19993377,-375364606.25459015,217338323.1192124,-646004539.4361184,0,0
1760,-52467883.681056716,438539634.91010386,-521583500.7870352,-392571262.29492915,0,0
1770,105157965.04592386,-387095049.94096684,-508601224.15308154,405780142.2341279,0,0
1780,-304104736.3874372,342943856.1440929,241862174.6106969,633560829.4037825,0,0
1790,367394661.604099,-157486386.49012312,697957907.7588583,27861114.75890875,0,0
1800,-430519307.5369901,106993529.13019404,306499832.6532708,-615571801.379651,0,0
1810,397722860.3626862,165184338.06832403,-455572151.3616744,-474880078.5640958,0,0
1820,-363297008.4792548,-190704103.6124991,-566255239.1411461,314521239.2553702,0,0
1830,233842274.23270187,391556556.2112195,146227218.26600364,655141931.5071375,0,0
1840,-80227798.63274917,-387097127.6521721,686598175.3590631,116393315.7806867,0,0
1850,-22326429.64498035,451356689.6694406,388415471.63537765,-573540358.4227875,0,0
1860,252964474.96832836,-333791568.5578939,-379837694.045879,-545077343.4937754,0,0
1870,-278698362.70602864,316467314.3172087,-609962549.7244167,214988252.59915233,0,0
1880,437542802.52464736,-105836769.0161096,45823098.88847457,662830879.102343,0,0
1890,-395937749.0401643,3151801.0718276873,662178331.5211518,203409183.8813974,0,0
1900,428889660.8284905,157726300.42492968,461999566.6711536,-521050706.43010175,0,0
1910,-259223882.47915164,-314808617.28266513,-296779117.23501164,-602041301.5798247,0,0
1920,240755247.17794818,360468258.599835,-638312416.0280179,110040723.3808249,0,0
1930,23142315.591660403,-440588202.0364528,-57172375.042287976,655621411.6757106,0,0
1940,-77893434.37099126,393847523.85584444,624713512.7586898,287497526.9766412,0,0
1950,281019088.6678208,-362075255.7624371,526355695.1075662,-459194033.3365909,0,0
1960,-355176214.453353,182718477.12949514,-208725459.4373026,-645189653.4158973,0,0
1970,422892565.1734722,-135469089.2164753,-650609299.871804,2790729.3212841824,0,0
1980,-407436094.5670631,-137832827.224833,-160188691.8027742,632882953.1330308,0,0
1990,376053561.6221061,165353744.37033805,574335055.1242781,367090444.6802988,0,0
2000,-258888830.42827553,-375227483.39424014,580701048.0608554,-389010804.4369691,0,0
2010,107312926.73756795,380390851.8816403,-117816407.68980268,-674365718.2422324,0,0
2020,-7425788.934211411,-452159058.94369924,-646903273.2835739,-103649361.18093023,0,0
2030,-229255193.22553915,349849952.56029457,-260359314.59489873,594526349.5918665,0,0
2040,256844020.5643432,-335143063.4009185,511375465.39039594,440441620.392737,0,0
2050,-429273413.73128986,134352802.19900095,624303846.7672828,-311517512.74883837,0,0
2060,394884111.1740669,-31057721.324598573,-25946051.643431805,-689711675.5700836,0,0
2070,-438436525.87105256,-129352332.69372278,-627913751.383628,-206400014.46443984,0,0
2080,280113825.5961147,295739715.778572,-354696470.52813625,541132455.4439764,0,0
2090,-264731980.2697631,-343912920.7228192,436471762.5822851,505641855.6059574,0,0
2100,6238449.719976097,440675192.8685701,656439860.9081807,-227754752.59553453,0,0
2110,50213971.70626112,-398686855.95691127,65240252.76510104,-691553325.4584409,0,0
2120,-256727885.9204645,379649111.5141661,-594874863.039767,-302982810.0232763,0,0
2130,341230838.76418513,-207028012.53364074,-440323050.8469017,474002419.29195666,0,0
2140,-413382912.38092166,163388360.98779237,350673290.55100155,560683884.8347291,0,0
2150,415276589.83083385,109905628.4972592,676372860.4127706,-138850059.31504312,0,0
2160,-387039309.7958015,-139170167.62695757,154311364.85992235,-680310467.7556245,0,0
2170,282800929.94481075,357289824.71740776,-549347076.1678019,-391402923.9682907,0,0
2180,-133858525.49107282,-371801689.46452636,-514717137.9144224,395103439.2893319,0,0
2190,37176759.031075366,450994735.8112194,255531657.59637627,603583368.8695606,0,0
2200,204519217.0515524,-364241850.2505864,683363578.9125559,-46088409.10893129,0,0
2210,-233755124.2666397,352299306.81234646,239993557.2615661,-656438544.8093708,0,0
2220,419139194.0936375,-162247419.88994083,-493037969.2472578,-470150836.09773034,0,0
2230,-391876830.81396765,58826008.50746741,-575914076.3235265,306912937.5213852,0,0
2240,446099015.3079363,100407350.89289379,153143875.29589313,632551314.9605267,0,0
2250,-299624799.237438,-275282010.9263972,676711483.1572372,49018652.33241613,0,0
2260,287555608.5151333,325772452.25071776,321104197.3838701,-620401958.6039752,0,0
2270,-35543223.07870594,-438801463.5564658,-427661151.847304,-538145177.8501735,0,0
2280,-22253526.507522434,401588881.25461936,-622621271.5567425,212195395.77371746,0,0
2290,231336244.26253104,-395589480.04124117,46120331.94394307,646195799.0410757,0,0
2300,-325626966.15195,230296895.59390518,655832047.5519797,144677561.88647345,0,0
2310,402031438.3195169,-190627086.71995986,396485826.429318,-572677040.9472661,0,0
2320,-421209867.50482583,-81530525.55260757,-354845491.21620363,-594643783.2864184,0,0
2330,396201125.94981855,112277172.08516937,-654228373.3106772,113764353.22496893,0,0
2340,-305475019.8162764,-337821974.5322672,-62538248.041654445,643713214.0816495,0,0
2350,159734136.94702572,361372002.02028215,620367927.3097267,238787043.2755422,0,0
2360,-66796391.36682403,-447867973.5520581,464948671.08317256,-513781880.53141713,0,0
2370,-178872800.02888197,376901063.8779552,-276093642.5487103,-639146610.2070647,0,0
2380,209537814.33057642,-367855549.1575556,-670726593.1305488,14279603.130700484,0,0
2390,-407185589.22345686,189398404.57374656,-169646331.03836828,625020804.9264535,0,0
2400,386930341.4709003,-86320427.26294586,570324424.4735991,328960437.15431225,0,0
2410,-451843542.7162166,-71016700.90138039,525229076.6679699,-444329848.7475587,0,0
2420,317664140.0324402,253534067.200708,-192781614.49727237,-671307235.65421,0,0
2430,-309122074.47638345,-306127860.9861066,-672571670.2065922,-83889195.33467925,0,0
2440,64641119.18669589,434976638.8468196,-272085009.90056145,590791326.6628779,0,0
2450,-5852653.351880349,-402538804.57366514,506208445.200474,412611813.8871641,0,0
2460,-204954053.95437095,409827502.00944567,575971868.0555152,-365102613.4692564,0,0
2470,308441117.70730114,-252412045.69488865,-106188764.45495705,-690862880.3263961,0,0
2480,-388887401.90374464,217064059.13143343,-660529723.2065866,-178724893.07244185,0,0
2490,425210142.70607495,52837398.33392207,-367044729.43944687,542377271.5983516,0,0
2500,-403494543.67444146,-84801850.10129088,429138983.5976842,487111260.0330766,0,0
2510,326812932.55049586,316908999.77378625,615745421.0385286,-277135827.06970173,0,0
2520,-184812577.9837041,-349153184.32361734,-17548083.077023804,-697588146.8562037,0,0
2530,96155188.04071064,442791619.3449152,-635537352.4921209,-268561827.3369742,0,0
2540,152436508.6437746,-387769459.83642876,-452207036.57967144,481645229.8143558,0,0
2550,-184303399.63240197,381738730.8532325,340892224.20944995,549995974.8338945,0,0
2560,393466063.61989427,-215686793.0105845,643097896.6826847,-181806110.45226705,0,0
2570,-380068561.1984549,113406112.54249609,71892067.43075521,-691275074.8461071,0,0
2580,455644856.30204433,41307658.913255684,-598594387.2388444,-352040771.51624566,0,0
2590,-334146172.72328824,-230600666.51836202,-525834847.4146804,410764877.095959,0,0
2600,329333041.1698185,285066927.59314907,243852335.03760242,599201546.0537153,0,0
2610,-93402142.06659198,-429219079.10213476,656659809.6148201,-80901914.85118201,0,0
2620,33968677.07405861,401531260.2813852,160802771.598706,-671741086.7251041,0,0
2630,177695503.4272214,-422301701.1365782,-550695855.2796508,-428039976.3458792,0,0
2640,-289757539.07682574,273265955.1692731,-586770109.5895463,332002129.1503287,0,0
2650,374008005.3601466,-242581655.55402592,140861954.38241905,633262338.6892769,0,0
2660,-427260454.6070471,-23957633.178770013,655290090.5125034,23344682.900595456,0,0
2670,408883953.8665489,56873981.52153233,247714270.01521873,-638865934.5779061,0,0
2680,-346722315.98060364,-294642272.43900895,-492801940.87020767,-495598830.23772186,0,0
2690,208970566.9663027,335205413.45532614,-634361000.8974801,247553912.1531547,0,0
2700,-125124808.48078677,-435787052.673371,34997227.05702584,651431886.3603004,0,0
2710,-125334665.39291093,396797253.3840748,638249666.1515629,128289462.95747542,0,0
2720,158167835.71833313,-393883553.76290214,330970458.715171,-592657731.937898,0,0
2730,-378041871.79351294,240997402.4760298,-425840919.9396759,-553846055.2580088,0,0
2740,371324769.3278894,-139950230.12106496,-668350773.4633368,159442296.86515293,0,0
2750,-457486146.29869103,-11408878.45167967,-70683218.78125715,653696065.8942345,0,0
2760,348992630.7155129,206592315.62151045,605371102.4491878,230987579.1673832,0,0
2770,-348096328.20314544,-262683800.67156,408710345.69103414,-533345416.3888232,0,0
2780,121697767.7319368,421555808.29593,-350739000.03354496,-601940664.054013,0,0
2790,-61958668.14486597,-398570326.11664903,-688758222.469835,69468053.32824902,0,0
2800,-149678584.667611,432958251.3889841,-173360209.93538916,640684360.5748239,0,0
2810,269667796.98641515,-292757219.33848804,557181849.5582756,328383478.0880287,0,0
2820,-357458133.1231228,267066355.3626937,478890261.19156265,-461489624.5829332,0,0
2830,427352756.81336635,-4976475.42140457,-268471079.5179961,-639031796.0018476,0,0
2840,-412342758.9656597,-28625416.429245666,-695771197.4854187,-20787109.81403503,0,0
2850,365117038.22573906,271119074.4096123,-270606494.7128959,613512136.1079373,0,0
2860,-232089331.2707528,-319597354.28249234,494940645.6762616,417552058.9301474,0,0
2870,153578629.72488123,426884086.6477384,539359379.5237373,-378095897.8955668,0,0
2880,97694772.78172803,-403943255.0518197,-180126381.8075037,-664242848.0576357,0,0
2890,-131251183.11312188,404232770.22862303,-689665108.3322275,-109924213.0635941,0,0
2900,360981794.88031024,-265219341.1688935,-360455075.94543415,573598407.3668659,0,0
2910,-360741437.1071131,165822626.34955892,420566079.5878589,495941965.0462819,0,0
2920,457359115.81730086,-18550168.310667574,587994354.759549,-284705070.2304985,0,0
2930,-362133042.0429489,-181624724.70232627,-86981814.03094506,-676685321.2699043,0,0
2940,365326319.2463528,239078564.13567817,-670751134.9934306,-196670529.9227581,0,0
2950,-149401521.47590137,-412022403.19035697,-441392472.01537347,522498363.70613545,0,0
2960,89687420.0208761,393669491.19756114,336467820.2903303,561566024.6625485,0,0
2970,121024582.08911377,-441751211.1842433,622885049.7419322,-183429763.6008037,0,0
2980,-248270339.12546244,310791037.4268951,9426709.64039085,-675507438.7303768,0,0
2990,339310057.30307007,-290409238.4285525,-639354606.3557049,-279814478.23331,0,0
3000,-425487967.2708722,33832328.72069171,-512299593.48829997,461775216.93255687,0,0
3010,413853484.1949074,189449.77779295295,245320429.6816547,613099259.0048254,0,0
3020,-381917565.9845153,-246442176.2909279,642544388.4656934,-76908933.8484667,0,0
3030,254055192.60371643,302405822.7290583,107248675.66891693,-659980457.0724969,0,0
3040,-181392298.62104654,-416120832.72820234,-595822152.5299447,-358141065.8909757,0,0
3050,-69646920.8376665,409175077.4339172,-572365712.5244849,392920335.0210039,0,0
3060,103677048.1889163,-412737434.3152258,149832936.6236175,649874465.6771051,0,0
3070,-342361843.82248485,288246500.52913374,646098331.5952724,31831470.96096222,0,0
3080,348370013.16938394,-190896463.9182821,204296895.7665244,-629620223.9402369,0,0
3090,-455264014.872045,48439752.5242392,-540555630.4485561,-430375828.0612746,0,0
3100,373505078.75372833,155818259.68890032,-620996815.2411841,317319364.8007189,0,0
3110,-380944339.11182934,-214356778.92331767,52560172.48877601,671794481.5124303,0,0
3120,176389547.19892296,400662844.0746449,633407058.7772229,139596659.42017576,0,0
3130,-117021047.1009748,-386851578.5172962,298078484.01856285,-584332116.195814,0,0
3140,-91857547.07750535,448642723.589025,-474070289.27099353,-495145229.10744196,0,0
3150,225670019.4921173,-327279681.7916014,-657733050.9894601,236256287.9006558,0,0
3160,-319643111.09904504,312506462.46071243,-44218687.02635972,679196806.6258591,0,0
3170,421675977.325926,-62477630.54830392,605082519.7916015,243277500.91560435,0,0
3180,-413407845.4524989,28299809.10337366,385894300.29677844,-524555147.39446,0,0
3190,397051314.4984208,220719392.05054623,-397073115.53917,-550962449.6536245,0,0
3200,-274760127.1676224,-283715408.5130482,-682184126.883642,150945773.3578211,0,0
3210,208444273.5781822,403543529.4881333,-138551184.46431094,672707474.6332585,0,0
3220,41323180.84725971,-412469301.230503,562397342.4185708,340085224.7506424,0,0
3230,-75572009.21393155,419357114.26473016,465009347.72314054,-451370026.0784652,0,0
3240,322264930.3314425,-309978027.2873015,-310553953.1798163,-596248388.435007,0,0
3250,-334270664.97672534,215048840.49536574,-693987603.416663,62584760.07840752,0,0
3260,451209637.4549759,-78130451.53039964,-228804553.12528098,653111849.3098143,0,0
3270,-383054867.89678913,-129297370.73557587,507112232.9138727,427717898.864862,0,0
3280,394878998.8699565,188629001.14812943,532875554.0054107,-366533308.2837711,0,0
3290,-202541166.23594075,-387529327.60383844,-215876542.57999212,-629397004.9440005,0,0
3300,143827627.8438167,378148622.4536655,-692793101.3962805,-27584801.0386146,0,0
3310,62303760.44199199,-453603181.6456473,-313619380.3144088,621257657.4012297,0,0
3320,-201977591.4678556,342142933.0678261,441268486.4772892,504434942.8089535,0,0
3330,298543331.65352225,-333259717.20912516,587365967.2403474,-272411792.38961947,0,0
3340,-415935619.7428147,90780994.32103315,-114849886.15720478,-648889776.125669,0,0
3350,411006773.70448554,-56708069.1386836,-678274733.7731739,-118209814.72474012,0,0
3360,-410452967.6406465,-194063111.34274596,-391842399.47078466,577995192.6181549,0,0
3370,294102297.84418356,263618059.23595148,366992504.8971182,569044303.1424608,0,0
3380,-234616353.53979862,-389206336.21019584,626967140.6643564,-171817762.72791237,0,0
3390,-12856988.121649697,413811599.59415436,-9754898.687977627,-653454324.7809013,0,0
3400,47065030.276825376,-424060065.3303922,-650173622.6721338,-207765225.1775252,0,0
3410,-300780507.0086485,330318773.1256332,-462453235.18971264,524153168.0948966,0,0
3420,318511977.61768985,-238161387.16428423,286344796.168424,620826711.8475877,0,0
3430,-445213281.69305235,107493710.18625875,650883680.5331681,-67776817.03758904,0,0
