uur,vx_c,x_c,y_c,vx_b,x_b,y_b,vx_ster,x_ster,y_ster
994786,-38398.413995413575,22288834989680.406,-7057568667318.908,-9057.220103619125,22322322858277.246,-7045880021754.386,349.6976397418202,22289914850939.266,-7033715831970.079
994787,-37987.250292165576,22285036264651.19,-7056465988382.714,-12900.783232267597,22321032779954.02,-7049203484424.083,371.49725753813266,22289952000665.02,-7033705484189.502
994788,-36054.35193257139,22281430829457.934,-7054477629249.984,-16550.65560234895,22319377714393.785,-7052345411889.752,389.3564654653459,22289990936311.566,-7033697833600.399
994789,-32331.225496112078,22278197706908.324,-7051590198802.113,-19979.850099839532,22317379729383.8,-7055270169456.133,402.6222034350157,22290031198531.91,-7033693114008.214
994790,-26429.25162691955,22275554781745.633,-7047813124169.749,-23162.549131956435,22315063474470.605,-7057944227195.655,410.42695258613065,22290072241227.168,-7033691504825.09
994791,-17830.89420205355,22273771692325.426,-7043201721122.846,-26073.581810111576,22312456116289.594,-7060336160151.934,411.66947056177577,22290113408174.223,-7033693088563.324
994792,-5942.6672073934715,22273177425604.688,-7037900095171.996,-28687.97477082684,22309587318812.51,-7062416680236.96,405.1097426138397,22290153919148.484,-7033697771606.304
994793,9654.322766469597,22274142857881.336,-7032213527335.42,-30980.579075663194,22306489260904.945,-7064158709873.882,389.8283965548303,22290192901988.14,-7033705150411.292
994794,28482.449372530937,22276991102818.59,-7026702827742.991,-32925.77806384815,22303196683098.56,-7065537508009.329,366.55508151386397,22290229557496.293,-7033714336930.886
994795,47826.565592860476,22281773759377.875,-7022217353857.007,-34497.285693528844,22299746954529.207,-7066530859979.313,340.13797188556356,22290263571293.48,-7033723896665.279
994796,62089.447624642795,22287982704140.34,-7019665504776.048,-35668.05470745626,22296180149058.46,-7067119342093.269,320.73077170736883,22290295644370.652,-7033732269955.452
994797,66012.0166620802,22294583905806.547,-7019499209099.165,-36410.33508084178,22292539115550.375,-7067286666954.362,317.86005536332476,22290327430376.188,-7033738719746.622
994798,59644.33070159872,22300548338876.707,-7021464222162.688,-36695.94699059898,22288869520851.316,-7067020109849.713,331.26821286050694,22290360557197.473,-7033743789143.309
994799,47324.81141198012,22305280820017.906,-7024915007330.624,-36496.820082247694,22285219838843.09,-7066311020544.76,352.7973079278984,22290395836928.266,-7033748718261.992
994800,33223.555694070754,22308603175587.312,-7029203525256.555,-35785.82494061646,22281641256349.027,-7065155431093.147,374.605051478469,22290433297433.414,-7033754724350.724
994801,19638.482107837914,22310567023798.098,-7033833249924.543,-34537.94495800923,22278187461853.227,-7063554763836.903,392.3108936724857,22290472528522.78,-7033762713871.706
994802,7466.449152090929,22311313668713.31,-7038459714612.166,-32731.860370756214,22274914275816.152,-7061516629848.962,404.1373224010348,22290512942255.02,-7033773276809.491
994803,-3083.7431916519854,22311005294394.145,-7042849607857.774,-30352.005213671215,22271879075294.785,-7059055692888.618,409.6082865752164,22290553903083.676,-7033786756963.013
994804,-12070.539696984344,22309798240424.445,-7046842532045.289,-27391.12398110991,22269139962896.676,-7056194556250.135,408.78888483078,22290594781972.16,-7033803317197.598
994805,-19626.79901294405,22307835560523.152,-7050323850413.966,-23853.29809174222,22266754633087.5,-7052964607939.653,401.94785173747846,22290634976757.332,-7033822984512.007
994806,-25881.04287338745,22305247456235.812,-7053206923783.428,-19757.324011976016,22264778900686.3,-7049406733914.297,389.43229131109126,22290673919986.465,-7033845678579.987
994807,-30927.25372628824,22302154730863.184,-7055421741750.268,-15140.201049924493,22263264880581.31,-7045571782640.157,371.6325007608281,22290711083236.54,-7033871229969.983
994808,-34812.771510113795,22298673453712.17,-7056907673862.522,-10060.334863712786,22262258847094.938,-7041520642624.653,348.9784720551493,22290745981083.746,-7033899393045.499
994809,-37530.83423898943,22294920370288.273,-7057608942071.902,-4599.9071341960025,22261798856381.52,-7037323786128.291,321.9400557103026,22290778175089.316,-7033929856984.612
994810,-39011.43651207642,22291019226637.066,-7057472131356.191,1134.2521207530199,22261912281593.594,-7033060146840.164,291.0152377711247,22290807276613.094,-7033962256953.17
994811,-39106.8242296933,22287108544214.098,-7056445696842.9,7011.96272174365,22262613477865.77,-7028815245797.851,256.69579623049367,22290832946192.72,-7033996186011.498
994812,-37568.882611530295,22283351655952.945,-7054482206486.827,12883.677300124808,22263901845595.78,-7024678561946.734,219.4022649323831,22290854886419.21,-7034031206414.1455
994813,-34017.056945359414,22279949950258.41,-7051545326293.427,18587.30135266863,22265760575731.047,-7020740255313.975,179.3848044774964,22290872824899.66,-7034066855971.244
994814,-27901.441961399578,22277159806062.27,-7047625890097.66,23957.468054404537,22268156322536.49,-7017087473137.783,136.6007651890863,22290886484976.18,-7034102640119.857
994815,-18488.176464951193,22275310988415.773,-7042775558645.911,28836.294485551323,22271039951985.043,-7013800573500.873,90.62465159904401,22290895547441.34,-7034137992072.592
994816,-4964.857105430823,22274814502705.23,-7037172117090.061,33084.18093246817,22274348370078.29,-7010949656494.85,40.778959846366924,22290899625337.324,-7034172172870.11
994817,13064.983719474436,22276121001077.18,-7031228208201.465,36589.062989968064,22278007276377.285,-7008591780176.587,-13.009085003584232,22290898324428.824,-7034204087387.871
994818,34255.39151589818,22279546540228.77,-7025705375254.519,39272.82337196598,22281934558714.48,-7006769157863.621,-67.80121316557319,22290891544307.508,-7034232084800.931
994819,53754.91845862517,22284922032074.633,-7021639500133.086,41094.46138975757,22286044004853.457,-7005508483078.855,-114.41839279354195,22290880102468.227,-7034254099920.069
994820,64538.00449988328,22291375832524.62,-7019844036586.948,42050.86695517682,22290249091548.977,-7004821171807.63,-139.8983361806763,22290866112634.61,-7034268567023.215
994821,63696.079430879145,22297745440467.71,-7020391592745.715,42172.427079722904,22294466334256.95,-7004703753526.357,-139.0605699239095,22290852206577.617,-7034275372703.522
994822,54584.66125322807,22303203906593.035,-7022758689159.445,41508.432458372336,22298617177502.785,-7005138975202.227,-118.3766467382342,22290840368912.945,-7034275582685.039
994823,41977.0999315954,22307401616586.195,-7026289752651.376,40122.83366238271,22302629460869.023,-7006098542906.963,-87.01639795260786,22290831667273.15,-7034270570860.943
994824,28882.396119130877,22310289856198.11,-7030444257602.411,38094.30300014731,22306438891169.04,-7007545704610.216,-50.985380850878656,22290826568735.062,-7034261548797.467
994825,16624.206390757376,22311952276837.184,-7034833734772.077,35509.437019587866,22309989834870.996,-7009437320188.051,-13.230546281623127,22290825245680.434,-7034249485399.595
994826,5631.786267766167,22312515455463.96,-7039188394301.53,32456.631288411216,22313235497999.836,-7011725708241.707,24.938459545840395,22290827739526.387,-7034235157566.893
994827,-4040.6712471102583,22312111388339.25,-7043318305397.747,29022.043750272067,22316137702374.863,-7014360280532.893,62.91614545676156,22290834031140.934,-7034219212124.651
994828,-12467.198797200184,22310864668459.53,-7047084324731.039,25287.014088571297,22318666403783.72,-7017288920923.143,100.36154329257332,22290844067295.26,-7034202211293.265
994829,-19745.619153713447,22308890106544.16,-7050378585230.0205,21326.55347049335,22320799059130.77,-7020459094786.975,137.01465719151085,22290857768760.98,-7034184662125.132
994830,-25955.119867270532,22306294594557.434,-7053111697076.238,17208.649849703354,22322519924115.74,-7023818702648.844,172.62237530968167,22290875030998.51,-7034167035075.97
994831,-31137.974858890044,22303180797071.543,-7055204258891.7295,12994.173035875243,22323819341419.324,-7027316707880.537,206.90535043656246,22290895721533.555,-7034149775960.937
994832,-35288.55133463169,22299651941938.08,-7056581118490.249,8737.193693507947,22324693060788.676,-7030903575144.289,239.53587396575915,22290919675120.953,-7034133313955.601
994833,-38341.524857853445,22295817789452.293,-7057167533566.1045,4485.564963274806,22325141617285.004,-7034531557166.383,270.1127496765979,22290946686395.92,-7034118066986.543
994834,-40154.324563155446,22291802356995.977,-7056887004211.621,281.6509650727985,22325169782381.51,-7038154864929.141,298.1246749897676,22290976498863.42,-7034104444725.948
994835,-40479.43770716594,22287754413225.26,-7055661292765.692,-3836.8812321971673,22324786094258.293,-7041729752244.426,322.8945663838597,22291008788320.06,-7034092848058.6875
994836,-38922.35352218733,22283862177873.043,-7053414391753.06,-7836.262683241632,22324002467989.97,-7045214541063.064,343.4973855375814,22291043138058.613,-7034083661623.171
994837,-34884.29733414616,22280373748139.63,-7050084654193.084,-11685.852115761778,22322833882778.39,-7048569609481.857,358.6501098694644,22291079003069.6,-7034077231532.604
994838,-27507.117612174807,22277623036378.41,-7045654145716.3125,-15357.413552060872,22321298141423.184,-7051757360649.239,366.6059518096228,22291115663664.78,-7034073811478.534
994839,-15706.094579446037,22276052426920.465,-7040212254061.669,-18824.449992640697,22319415696423.918,-7054742187896.443,365.2108955672417,22291152184754.34,-7034073445740.059
994840,1428.6345138789202,22276195290371.85,-7034074718753.061,-22061.592862513724,22317209537137.668,-7057490449566.588,352.6397080184919,22291187448725.14,-7034075750028.836
994841,23287.504773544628,22278524040849.207,-7027937974345.63,-25044.04235193376,22314705132902.473,-7059970466004.884,329.86991851011464,22291220435716.992,-7034079627141.61
994842,45519.670116297326,22283076007860.836,-7022877042074.883,-27747.05878970877,22311930427023.5,-7062152549831.925,304.77242212978945,22291250912959.207,-7034083270667.008
994843,60567.930970126334,22289132800957.848,-7019878931114.443,-30145.53357174263,22308915873666.324,-7064009076511.516,291.12339985639017,22291280025299.19,-7034085024242.433
994844,64128.23072433059,22295545624030.28,-7019234113466.766,-32213.702049506224,22305694503461.375,-7065514597213.933,296.70152549811127,22291309695451.742,-7034084502050.77
994845,58482.76113918303,22301393900144.2,-7020570711929.985,-33925.008676322126,22302302002593.742,-7066646000823.308,317.146192846388,22291341410071.027,-7034082524880.985
994846,48148.334196574826,22306208733563.855,-7023297780229.3545,-35252.05942191308,22298776796651.55,-7067382742052.709,343.97476489792774,22291375807547.516,-7034080302081.007
994847,36334.26803405219,22309842160367.26,-7026884897852.744,-36166.66304451994,22295160130347.098,-7067707151546.833,371.10887930081014,22291412918435.445,-7034078914606.554
994848,24641.507224080735,22312306311089.668,-7030929691317.84,-36640.03216683277,22291496127130.414,-7067604837615.25,395.4299753681497,22291452461432.98,-7034079188260.884
994849,13717.380287853844,22313678049118.453,-7035140757575.406,-36643.21150711305,22287831805979.703,-7067065185678.518,415.5754686835901,22291494018979.848,-7034081722225.905
994850,3762.4466607667528,22314054293784.53,-7039305679217.81,-36147.7910221971,22284217026877.484,-7066081958947.946,431.0091112136092,22291537119890.97,-7034086944466.332
994851,-5204.958370259164,22313533797947.504,-7043264273035.522,-35126.96432783387,22280704330444.7,-7064653999577.501,441.5397999885645,22291581273870.97,-7034095156902.159
994852,-13226.563865100321,22312211141560.992,-7046889502566.483,-33556.99590817883,22277348630853.883,-7062786022041.168,447.10511817006926,22291625984382.785,-7034106565919.59
994853,-20349.37842868379,22310176203718.125,-7050074344318.884,-31419.154140428436,22274206715439.84,-7060489478872.602,447.6817429750099,22291670752557.082,-7034121301488.107
994854,-26599.640352055278,22307516239682.918,-7052722641512.391,-28702.14338908621,22271336501100.93,-7057783462525.649,443.25172439097213,22291715077729.52,-7034139428718.88
994855,-31967.075085893623,22304319532174.33,-7054742507118.838,-25405.019947887355,22268795999106.14,-7054695585872.609,433.79059394282166,22291758456788.914,-7034160954851.652
994856,-36390.075157940875,22300680524658.535,-7056041395017.188,-21540.49658490099,22266641949447.652,-7051262758682.834,419.2594536282518,22291800382734.277,-7034185833778.743
994857,-39735.69013926048,22296706955644.61,-7056522475451.684,-17138.425435322166,22264928106904.12,-7047531750950.955,399.58854947068073,22291840341589.223,-7034213969416.907
994858,-41768.64255327112,22292530091389.28,-7056082587823.219,-12249.103914280118,22263703196512.69,-7043559411161.982,374.6395875827338,22291877805547.98,-7034245218198.194
994859,-42102.578475126764,22288319833541.77,-7054613162944.376,-6945.89259583377,22263008607253.11,-7039412396118.452,344.131281118787,22291912218676.094,-7034279388956.365
994860,-40127.18837103076,22284307114704.668,-7052007874871.69,-1326.5058996163261,22262875956663.15,-7035166278453.586,307.5126510211803,22291942969941.195,-7034316234066.837
994861,-34916.828934387486,22280815431811.23,-7048185926388.638,4487.709723325189,22263324727635.48,-7030903937978.823,263.7904328341764,22291969348984.48,-7034355415985.915
994862,-25185.938525220787,22278296837958.707,-7043149823020.835,10355.106899986878,22264360238325.48,-7026713219077.771,211.42738354055302,22291990491722.836,-7034396414555.086
994863,-9561.978559312,22277340640102.777,-7037107688773.794,16120.036963092454,22265972242021.79,-7022683942257.515,148.80818300760978,22292005372541.137,-7034438319182.653
994864,12129.658654231614,22278553605968.2,-7030663035855.238,21622.095906227223,22268134451612.41,-7018904449232.259,76.55251162017613,22292013027792.297,-7034479499484.39
994865,36190.25664187135,22282172631632.387,-7024894085895.807,26706.87826048149,22270805139438.457,-7015457774283.305,2.381136937841873,22292013265905.992,-7034517481610.073
994866,54620.63524396137,22287634695156.78,-7020928989199.345,31230.91795970046,22273928231234.426,-7012417455269.734,-58.1261127504488,22292007453294.72,-7034549755452.6045
994867,61861.28984847498,22293820824141.63,-7019242749930.965,35064.27606755862,22277434658841.184,-7009844628953.218,-93.96370536204918,22291998056924.184,-7034575087054.381
994868,59359.60561786286,22299756784703.414,-7019597871102.716,38111.45247079509,22281245804088.26,-7007786777607.665,-107.23786052294581,22291987333138.133,-7034593635320.102
994869,51389.42356839756,22304895727060.254,-7021478371110.125,40317.34807842888,22285277538896.105,-7006276497281.08,-105.49942384928623,22291976783195.746,-7034606159604.684
994870,41199.2292012482,22309015649980.38,-7024387739928.055,41662.44292473048,22289443783188.58,-7005331018558.621,-94.61891227650995,22291967321304.52,-7034613473565.242
994871,30516.125993622,22312067262579.742,-7027933536499.568,42159.21995883559,22293659705184.46,-7004952752449.372,-77.85163658772011,22291959536140.86,-7034616286093.426
994872,20116.337195946682,22314078896299.336,-7031821682115.438,41847.45629577102,22297844450814.04,-7005130630386.968,-56.861170796881595,22291953850023.78,-7034615203965.197
994873,10304.706094572477,22315109366908.793,-7035830993369.013,40788.10192217548,22301923261006.258,-7005841956506.378,-32.56686848351972,22291950593336.934,-7034610767891.171
994874,1175.9747090766741,22315226964379.7,-7039789804503.774,39056.67081355417,22305828928087.613,-7007054510528.019,-5.586461697132528,22291950034690.766,-7034603483246.644
994875,-7258.765678799142,22314501087811.82,-7043558446243.4375,36737.011139733906,22309502629201.586,-7008728683400.373,23.567525508953658,22291952391443.316,-7034593839819.265
994876,-15011.936041767578,22312999894207.645,-7047016675256.388,33916.01184929093,22312894230386.516,-7010819485300.561,54.408042776162645,22291957832247.594,-7034582323184.671
994877,-22088.910747093243,22310791003132.934,-7050054510006.583,30679.497703001147,22315962180156.816,-7013278324750.505,86.4413024557197,22291966476377.84,-7034569421149.398
994878,-28468.8139066207,22307944121742.273,-7052565224296.724,27109.331873286115,22318673113344.145,-7016054509214.407,119.14840271485909,22291978391218.113,-7034555627852.996
994879,-34086.90957650502,22304535430784.62,-7054439666253.113,23281.598620219378,22321001273206.168,-7019096456961.116,151.96354841662298,22291993587572.953,-7034541447122.65
994880,-38811.807441115336,22300654250040.508,-7055561492678.814,19265.667533367076,22322927839959.504,-7022352636485.995,184.23754619667312,22292012011327.574,-7034527395740.218
994881,-42410.6305072072,22296413186989.785,-7055803471437.156,15123.924576664494,22324440232417.17,-7025772265070.836,215.1752071597128,22292033528848.29,-7034514006155.071
994882,-44493.46160159523,22291963840829.625,-7055026075377.155,10911.972360960193,22325531429653.27,-7029305804797.796,243.73181861113665,22292057902030.15,-7034501826163.67
994883,-44427.24666326705,22287521116163.297,-7053082004520.114,6679.135685844355,22326199343221.855,-7032905295274.267,268.451550795143,22292084747185.227,-7034491408625.087
994884,-41219.01345537473,22283399214817.758,-7049835783524.395,2469.1470321611214,22326446257925.07,-7036524559819.387,287.24827363938925,22292113472012.59,-7034483274144.173
994885,-33427.089568246985,22280056505860.934,-7045218775289.152,-1679.076208381195,22326278350304.23,-7040119317704.555,297.2374215768207,22292143195754.746,-7034477809054.648
994886,-19374.672753451498,22278119038585.59,-7039354015041.841,-5730.618956843766,22325705288408.547,-7043647230450.538,295.12470985409203,22292172708225.73,-7034475035150.528
994887,1599.3349822363125,22278278972083.812,-7032761654960.597,-9653.753355789933,22324739913072.97,-7047067905720.912,279.50591316965057,22292200658817.047,-7034474231147.904
994888,26383.219916074584,22280917294075.42,-7026474389319.816,-13419.151549111935,22323397997918.06,-7050342877648.634,255.94199666675132,22292226253016.715,-7034473720138.766
994889,47286.996005947134,22285645993676.016,-7021665587007.354,-16999.18600739551,22321698079317.32,-7053435576827.945,238.43900672387312,22292250096917.387,-7034471554903.345
994890,58137.723903511265,22291459766066.367,-7018959850769.903,-20367.38458291594,22319661340859.027,-7056311299754.724,238.2147326567177,22292273918390.652,-7034466788329.181
994891,59213.39627045031,22297381105693.414,-7018288868482.324,-23497.988591723064,22317311541999.855,-7058937191119.956,254.60582220778323,22292299378972.875,-7034459739097.6
994892,54095.77356082546,22302790683049.496,-7019249628410.559,-26365.501967615688,22314674991803.094,-7061282255155.136,280.8635351839691,22292327465326.395,-7034451331634.0205
994893,45924.89048521346,22307383172098.016,-7021399562610.253,-28944.24708319154,22311780567094.773,-7063317408074.586,311.05191036607636,22292358570517.43,-7034442552021.96
994894,36559.0227813478,22311039074376.152,-7024364316447.356,-31207.995256267983,22308659767569.15,-7065015580009.319,341.59329138164406,22292392729846.566,-7034434248848.04
994895,26936.854704137128,22313732759846.566,-7027850394320.878,-33129.703921231085,22305346797177.023,-7066351874362.54,370.5995194394756,22292429789798.51,-7034427108968.021
994896,17493.442361202004,22315482104082.688,-7031629703577.735,-34681.37316898934,22301878659860.125,-7067303793246.639,397.10471205279026,22292469500269.72,-7034421684660.363
994897,8414.827142264281,22316323586796.914,-7035520920056.324,-35834.03879488713,22298295255980.637,-7067851538320.362,420.59611726133494,22292511559881.445,-7034418426193.167
994898,-228.08941513617174,22316300777855.402,-7039374004235.361,-36557.930818734916,22294639462898.76,-7067978396446.434,440.7683901716832,22292555636720.46,-7034417708088.59
994899,-8411.236855236182,22315459654169.88,-7043058349162.041,-36822.838838096985,22290957179014.953,-7067671218760.408,457.3998836750953,22292601376708.83,-7034419848147.777
994900,-16120.80032296258,22313847574137.582,-7046453667976.027,-36598.73661752493,22287297305353.2,-7066920999505.41,470.28892663245,22292648405601.492,-7034425120842.799
994901,-23330.18054816157,22311514556082.766,-7049442639863.911,-35856.72658734163,22283711632694.465,-7065723556727.288,479.21691756605725,22292696327293.25,-7034433766871.023
994902,-29980.162170466887,22308516539865.72,-7051904542150.985,-34570.367940331744,22280254595900.434,-7064080309891.75,483.9195807281993,22292744719251.324,-7034446000323.791
994903,-35954.843869993914,22304921055478.72,-7053709377816.096,-32717.44555204827,22276982851345.23,-7061999138863.386,484.05300074572705,22292793124551.4,-7034462014464.8125
994904,-41045.55523724649,22300816499954.992,-7054712431749.016,-30282.214681329577,22273954629877.098,-7059495293746.946,479.14031605306536,22292841038583.004,-7034481986420.143
994905,-44892.25634573128,22296327274320.418,-7054750083223.593,-27258.109861412653,22271228818890.957,-7056592305450.536,468.4796502451673,22292887886548.027,-7034506079549.44
994906,-46888.32533960952,22291638441786.457,-7053639906977.94,-23650.825825353102,22268863736308.42,-7053322822734.256,450.98677216221563,22292932985225.242,-7034534438347.255
994907,-46038.57103448165,22287034584683.008,-7051193569726.424,-19481.55770158551,22266915580538.26,-7049729273645.656,424.9525115108415,22292975480476.395,-7034567160800.388
994908,-40808.74831193685,22282953709851.812,-7047263312429.125,-14790.056564441813,22265436574881.816,-7045864216270.593,387.78343541193277,22293014258819.938,-7034604210689.518
994909,-29216.79191541922,22280032030660.27,-7041862000608.664,-9637.276967635204,22264472847185.055,-7041790195900.413,336.18547728722814,22293047877367.668,-7034645197244.31
994910,-9946.583169432277,22279037372343.33,-7035385572009.376,-4108.887295542619,22264061958455.5,-7037578893459.65,268.236564983959,22293074701024.168,-7034688970299.025
994911,14758.0846926767,22280513180812.598,-7028787752044.22,1678.28420494076,22264229786875.992,-7033309762630.75,188.75635209979043,22293093576659.38,-7034733306391.681
994912,37591.463203363244,22284272327132.934,-7023276343523.833,7581.587254129128,22264987945601.406,-7029068748316.806,112.04228652705848,22293104780888.03,-7034775475847.147
994913,51751.07373509076,22289447434506.44,-7019619308351.097,13449.54359971139,22266332899961.38,-7024945757148.694,51.51639125890578,22293109932527.156,-7034813536111.521
994914,56411.831731109814,22295088617679.55,-7017917690550.6455,19123.080805539525,22268245208041.934,-7021030906690.212,9.632385337530827,22293110895765.69,-7034846772136.077
994915,54411.22441405324,22300529740120.957,-7017895469051.244,24440.142816381296,22270689222323.57,-7017410656145.306,-17.886498868418894,22293109107115.805,-7034875185054.747
994916,48651.99305979878,22305394939426.938,-7019183605949.268,29246.78036734398,22273613900360.305,-7014164055978.388,-35.48483162793411,22293105558632.64,-7034898990858.083
994917,41024.123721457996,22309497351799.082,-7021443227050.119,33408.442981136206,22276954744658.418,-7011359385297.756,-45.855110185104536,22293100973121.62,-7034918413177.4795
994918,32577.69857431222,22312755121656.51,-7024394324426.421,36819.07448177608,22280636652106.594,-7009051505591.825,-50.30960347516323,22293095942161.273,-7034933645933.426
994919,23858.97359868428,22315141019016.38,-7027810753443.659,39406.89451749435,22284577341558.344,-7007280172528.639,-49.43347918285721,22293090998813.355,-7034944872460.819
