uur,Io_x,Io_y,Europa_x,Europa_y,Jupiter_x,Jupiter_y
82,389866007.6638493,194567485.16953385,-124641842.98059694,669636537.9298272,107617.45140278043,-251681.59922081057
83,409183084.5798419,136717084.20003706,-76118521.47760214,675151344.3628577,106720.89567468165,-252022.9268378905
84,420134881.56799805,76065852.46176863,-27196562.37861014,677134735.1970187,106207.92510492944,-252143.14365973836
85,422223448.76286334,13804264.846525379,21869340.80559709,675548774.2712632,106108.41385746635,-252097.31352566
86,415113446.7284861,-48763571.37839107,70819726.54576614,670373531.4621958,106444.70430192405,-251946.30311160133
87,398663241.9739635,-110239542.91386163,119391578.57850575,661607770.8738462,107230.11299066515,-251755.87572695606
88,372955068.7776726,-169160580.58835757,167319642.09822074,649269569.7118047,108467.47797250342,-251595.33987807072
89,338321216.80277795,-224038008.8464195,214337841.8187521,633396852.6134014,110147.89055468907,-251535.71101209
90,295362512.0685207,-273407024.3002746,260180798.67800093,614047825.3784659,112249.78724144235,-251647.3940477561
91,244955053.60434967,-315884658.6081764,304585439.4999587,591301291.5138013,114738.59200383317,-251997.46367423446
92,188241512.18543926,-350232834.92140055,347292691.2334709,565256834.8377749,117567.08291211523,-252646.70156179127
93,126604481.27877131,-375421435.2445841,388049248.5061747,536034851.6568917,120676.60152866226,-253646.6292547613
94,61621396.414887294,-390685112.3116102,426609400.2335559,503776416.78600234,123999.1281888178,-255036.83124283134
95,-4996863.954015665,-395567361.5610586,462736897.99296355,468642968.99007434,127460.12416724922,-256842.87299953267
96,-71478953.44740005,-389946394.71593094,496206845.913442,430815803.31546044,130981.91805439426,-259075.07054528053
97,-136070868.92223656,-374039563.80290604,526807589.0613745,390495360.2695419,134487.31975898397,-261728.2642793385
98,-197111051.13663137,-348386027.9771038,554342574.8463948,347900304.89201504,137903.10763787065,-264782.61138189584
99,-253095836.66991794,-313810334.8855894,578632159.9637893,303266392.4027848,141163.06293777146,-268205.2709718972
100,-302730147.4804785,-271371898.73414785,599515333.958553,256845121.24306035,144210.31163562005,-271952.74758292234
101,-344960811.91122496,-222306539.543689,616851329.7623214,208902178.84834495,146998.8517812098,-275973.60299425566
102,-378992453.3130881,-167966215.9179227,630521091.6191481,159715690.2742955,149494.2640864774,-280211.2480888775
103,-404287927.0094479,-109762084.80818608,640428571.7543343,109574284.68141659,151673.69969774468,-284606.5735383944
104,-420556551.74455345,-49114484.30768809,646501828.9926329,58774999.493659765,153525.29859048434,-289100.2505883953
105,-427733848.7787801,12588207.01427164,648693905.2979257,7621046.587846354,155047.21393396563,-293634.61062888656
106,-425956333.7791346,74021309.4764413,646983459.8411434,-43580531.048499145,156246.40977454,-298155.07957391755
107,-415534342.1523852,133946707.34143773,641375144.6163775,-94521280.31886151,157137.372709565,-302611.19265645935
108,-396925134.3664427,191228012.88422316,631899710.6829295,-144893802.18304586,157740.8435495723,-306957.2457268379
109,-370707792.5466395,244839501.0318952,618613839.6415573,-194394222.8092806,158082.6402254783,-311152.65322045406
110,-337560782.4209582,293870330.1819471,601599700.7550973,-242724634.88964528,158192.61306398484,-315162.0850497795
111,-298242556.44746375,337525449.9781823,580964239.9773495,-289595472.72580206,158103.74995930234,-318955.4492609806
112,-253575216.2396078,375124401.2184132,556838212.8344818,-334727786.19061494,157851.4319916557,-322507.778052541
113,-204431015.37445155,406098991.712401,529374978.39299816,-377855381.17727065,157472.82875470957,-325799.064272985
114,-151721339.3726766,429990618.36610836,498749076.25105757,-418726797.55224794,157006.41574461217,-328814.08537949494
115,-96387720.10727397,446447816.87618285,465154612.4411367,-457107099.78237826,156491.592320698,-331542.242844995
116,-39394403.15524837,455224461.44758284,428803483.2079718,-492779460.12882966,155968.37684689625,-333977.4374007397
117,18278029.952506274,456178905.9021197,389923467.74890435,-525546519.3924172,155477.15478993187,-336117.9942057664
118,75638490.27211368,449274248.2312251,348756222.145035,-555231515.4486698,155058.45516181612,-337966.6467574129
119,131691173.69549307,434579804.6020162,305555206.88873637,-581679175.0263563,154752.73034949147,-339530.58370541735
120,185441840.9400701,412273786.42168874,260583579.68635735,-604756369.1746562,154600.1138697603,-340821.55825739884
121,235905124.71213034,382647075.09919167,214112083.68021363,-624352537.4718328,154640.12990173872,-341856.05508969474
122,282113419.5148709,346107873.28207433,166416959.0140534,-640379890.1234773,154911.327750458,-342655.5041216035
123,323127917.9926523,303186868.760668,117777902.90158878,-652773400.5874411,155450.81406888686,-343246.5237128273
124,358052344.7340663,254542369.79708734,68476100.19707343,-661490604.1877226,156293.6563558857,-343661.1674224718
125,386049883.86502373,200964654.10993445,18792343.05848006,-666511220.3175855,157472.13390284515,-343937.13822425134
126,406363673.4417631,143378521.2962184,-30994745.222180434,-667836617.290977,159014.81825411975,-344117.92215550656
127,418341014.7335225,82842765.75552946,-80610370.64407712,-665489139.7152591,160945.4759194466,-344252.7805231462
128,421461083.43438023,20545028.614474803,-129785104.97104265,-659511318.4825537,163281.80315261972,-344396.5276159097
129,415365405.317242,-42209698.025916465,-178256293.2009699,-649964983.1818222,166034.02737444983,-344609.01216554665
130,399889665.67394745,-104018666.14801061,-225769329.85184443,-636930295.9985577,169203.44251090763,-344954.2196439263
131,375094597.8578979,-163410573.7173346,-272078804.43038887,-620504725.0771164,172780.9843600707,-345498.9239975314
132,341292844.3607529,-218885257.22935522,-316949518.6399128,-600801973.9551879,176745.99224619768,-346310.8468078474
133,299067985.90260834,-268963682.1976665,-360157379.70997584,-577950882.1195817,181065.33611073546,-347456.3325657085
134,249281639.5917228,-312246529.2999549,-401490175.6960068,-552094310.0494177,185693.10208255227,-348997.619830268
135,193064902.19670963,-347477898.8841351,-440748239.71734536,-523388020.37036186,190571.01195131423,-350989.8716186587
136,131791645.28297584,-373608954.6321292,-477745010.9008389,-491999564.9953642,195629.69407153127,-353478.20850747515
137,67033245.08834879,-389855162.0307577,-512307500.3033831,-458107186.4168347,200790.8255362078,-356495.0428017922
138,496961.0579088852,-395740606.18762404,-544276670.3335712,-421898739.67531556,205970.04164951266,-360058.0202213348
139,-66047191.68673742,-391123961.0828969,-573507736.2153398,-383570639.9830776,211080.38489810118,-364168.8244127873
140,-130844269.04239047,-376202942.91596895,-599870397.8734351,-343326839.539759,216035.97330338234,-368812.99325239204
141,-192229370.50284356,-351497046.5263947,-623249010.3155701,-301377835.7426641,220755.5329050539,-373960.75634307327
142,-248692874.6423197,-317811326.22410125,-643542700.1957408,-257939711.75890142,225165.47066044438,-379568.7637344815
143,-298930918.12817127,-276186244.3243985,-660665435.8480484,-213233209.28084204,229202.25173451236,-385582.4694765157
144,-341878609.85992855,-227839734.07879582,-674546057.796036,-167482832.24609667,232813.96331337283,-391938.88077671605
145,-376725985.74887824,-174107544.44690898,-685128276.6962646,-120915979.47476885,235961.0653768223,-398569.38728213665
146,-402918708.8043971,-116386913.51420122,-692370645.8592622,-73762103.85886791,238616.42294916703,-405402.43304521893
147,-420146740.07739437,-56087084.39718501,-696246515.3820184,-26251896.40686582,240764.7717991433,-412365.86585682246
148,-428324642.65217024,5411442.289443538,-696743973.1066488,21383504.828387395,242401.79006182612,-419388.8748114338
149,-427567002.0921547,66788423.54022537,-693865772.7013245,68913279.75601746,243532.93971746048,-426403.4927395447
150,-418161888.23817426,126806682.35786107,-687629243.0475947,116107666.60947923,244172.21542451286,-433345.68828315084
151,-400544563.0819714,184327357.72323936,-678066172.0629888,162738685.57077754,244340.9042864111,-440156.10185180424
152,-375272918.0186213,238319030.65172577,-665222664.7767466,208580857.66304278,244066.42635094767,-446780.4932704679
153,-343005498.7077873,287862205.6904757,-649158982.5963265,253411927.81299806,243381.29640569404,-453169.9709620291
154,-304482489.0844053,332150520.2282358,-629949370.7241971,297013594.83631885,242322.2247299509,-459281.06731725734
155,-260509677.97461012,370489866.67766845,-607681875.5757132,339172248.0111965,240929.3579538582,-465075.71601211734
156,-211945200.4742028,402296397.7292551,-582458149.4446505,379679710.3390455,239245.6501740538,-470521.17693205853
157,-159688703.82259855,427094176.5733727,-554393237.6129458,418333989.9526856,237316.3477210011,-475589.9445947102
158,-104672507.30732638,444513049.64882255,-523615342.68226373,454940041.85563946,235188.56718843966,-480259.66730582906
159,-47854284.97242289,454287164.39680606,-490265560.938503,489310542.11857575,232910.944418029,-484513.09698392975
160,9789219.37237931,456254426.5455662,-454497585.51787263,521266676.13259125,230533.33122404374,-488338.0835542719
161,67267946.11286256,450357084.3481323,-416477370.93864125,550638941.7712395,228106.51613106253,-491727.62275376124
162,123584254.67314202,436643532.4586831,-376382753.25902706,577267967.4556043,225681.94488920114,-494679.9617083577
163,177739165.91152853,415271336.0963666,-334403019.79731697,601005344.1816425,223311.41582862803,-497198.7622897329
164,228739657.95903686,386511376.5107272,-290738422.06563,621714469.5583667,221046.72420350258,-499293.31754360115
165,275607581.3016285,350752901.02165616,-245599625.36733198,639271400.814497,218939.22873335873,-500978.8109137081
166,317390771.0083101,308509114.9877378,-199207088.42363274,653565712.5577978,217039.31297835032,-502276.60108890885
167,353176924.07882357,260422770.58113798,-151790366.45646113,664501353.8185985,215395.71465355754,-503214.5066818606
168,382110756.97948605,207270983.810585,-103587331.38965063,671997497.5864488,214054.69848318756,-503827.0543995897
169,403414834.43621415,149968250.11195776,-54843303.26538593,675989374.6726052,213059.05404186135,-504155.6420431056
170,416414231.3459396,89566346.29149377,-5810087.633450992,676429082.324318,212446.91083329837,-504248.5543417181
171,420564819.4677523,27249538.483138986,43255085.41901567,673286356.6103574,212250.38030116155,-504160.7569743769
172,415484431.22752535,-35676676.28059482,92090723.74913064,666549296.2292746,212494.05987718306,-503953.3850574045
173,400985439.7590761,-97805093.0943614,140432338.83677772,656225024.1087183,213193.46777213688,-503692.84113096
174,377106447.48215026,-157656132.0243947,188013814.58477885,642340272.0192856,214353.51711084024,-503449.4295531198
175,344139903.27454466,-213717880.86029398,234568877.1111254,624941872.4800978,215967.17911166657,-503295.48454620934
176,302651760.02453285,-264496637.7169311,279832661.06836194,604097141.5508963,218014.5184010223,-503303.00136571506
177,253488997.72785532,-308576193.3455586,323543365.43555814,579894135.7553723,220462.29710702287,-503540.85299947305
178,197771243.01594767,-344682281.75975555,365443988.926826,552441766.4312239,223264.32535433996,-504071.76004286157
179,136863997.50310427,-371746908.4624107,405284132.20686954,521869755.3191912,226362.67555003805,-504949.2623191681
180,72333121.32638866,-388966113.8619519,442821851.07630306,488328416.24337363,229689.77750238884,-506214.9950389768
181,5882893.758249514,-395844604.6702096,477825541.7825243,451988249.34323907,233171.28558261553,-507896.57820592314
182,-60717384.33646916,-392221840.27519584,510075836.7364204,413039336.52100706,236729.4848389769,-510006.373715721
183,-125711349.10393387,-378276484.5778847,539367486.2940114,371690529.5710601,240286.9121046401,-512541.25532361574
184,-187430510.26060337,-354509134.4876343,565511200.0256354,328168425.8383501,243769.8359140663,-515483.3955290889
185,-244359320.38862664,-321706191.5820472,588335419.1749833,282716130.1578763,247111.27381065392,-518801.93444982247
186,-295185444.11665833,-280889962.4237778,607687990.9314862,235591806.17280275,250253.31565086692,-522455.2914423364
187,-338832819.75251514,-233261137.44530225,623437714.8130963,187067024.79863518,253148.64036328968,-526393.8302537667
188,-374477600.6872794,-180139667.29759854,635475731.9703162,137424922.45001033,255761.23100998555,-530562.5947773879
189,-401549023.6116508,-122909006.1090062,643716729.6334326,86958186.50588226,258066.385185421,-534903.8819939828
190,-419718428.78723365,-62967155.98481839,648099935.252431,35966890.17225846,260050.17317499215,-539359.4910414331
191,-428880060.80386263,-1686345.3842350468,648589878.099343,-15243796.784213059,261708.51518761387,-543872.5628389759
192,-429127080.0503295,59618197.39443706,645176900.1468165,-66365991.203405485,263046.03954718675,-548388.9893252538
193,-420725650.9671211,119710911.49775591,637877402.7908949,-117091540.34980156,264074.8570584804,-552858.4183691448
194,-404089259.6978814,177451153.2282533,626733821.2959954,-167114490.99186325,264813.35305397236,-557234.9089742282
195,-379754708.1164249,231802445.0954817,611814324.5180373,-216133547.20572996,265285.06527750933,-561477.3043801162
196,-348360623.7390449,281837177.7803498,593212243.296117,-263854480.27726993,265517.6870259895,-565549.3923913657
197,-310628851.4500404,326738107.51599807,571045236.6711277,-309992455.0612404,265542.2125378617,-569419.917012871
198,-267348752.79304945,365797805.9622638,545454210.5699633,-354274239.1783185,265392.2254701529,-573062.4966934348
199,-219364212.06541374,398417011.0649633,516602008.5799236,-396440264.40371174,265103.3205199396,-576455.4945880814
200,-167563008.8087719,424102626.62674737,484671898.7500063,-436246513.3943685,264712.64156554826,-579581.8767058627
201,-112868137.02600212,442465940.7536038,449865883.85099363,-473466209.3493542,264258.51588429767,-582429.0853414206
202,-56230609.957046114,453221483.61192286,412402865.10547507,-507891291.1089003,263780.16198551166,-584988.9480181894
203,1376732.0394050553,456186820.8917765,372516691.01045185,-539333661.3685824,263317.44755509053,-587257.6362031286
204,58964906.57412689,451283474.9021532,330454123.5148215,-567626200.9123511,262910.6733506739,-589235.6830043776
205,115534477.37500072,438539071.9699234,286472753.52228284,-592623546.859221,262600.3582343238,-590928.0645459888
206,170081774.01909202,418090723.16441137,240838896.5462344,-614202637.7017415,262426.99969102116,-592344.3452799302
207,221606194.80430847,390189544.98632187,193825497.4572227,-632263032.2468122,262430.78314517735,-593498.8826620042
208,269119167.9869977,355206106.9083215,145710070.76750776,-646727013.3411036,262651.2123365246,-594411.0808874979
209,311655362.1261445,313636443.2784061,96772699.93596612,-657539490.3999313,263126.63236154395,-595105.6762734882
210,348286728.9363319,266108079.53835282,47294115.897965364,-664667717.2206479,263893.61741484515,-595613.0279860282
211,378139910.19454753,213385292.50594208,-2446128.427378863,-668100843.3428438,264986.19779258705,-595969.3769321181
212,400417414.78339607,156372555.13658416,-52171374.39352717,-667849318.3398521,266434.90671257686,-596217.022933298
213,414422737.6439434,96114824.760681,-101609454.80548397,-663944168.934522,268265.63861861516,-596404.3565707855
214,419589212.45026726,33793057.65348366,-150494165.4261137,-656436168.7899144,270498.3285995276,-596585.6690981473
215,415511835.650369,-29286863.963394478,-198566607.21132982,-645394920.3072848,273145.48870797106,-596820.6545712827
216,401980567.2918364,-91713630.3792879,-245576398.3682103,-630907866.8506603,276210.67149042233,-597173.5172396438
217,379012747.02866024,-152000001.65937528,-291282757.6827011,-613079252.5923227,279686.97190090304,-597711.6097228078
218,346881375.54858595,-208623208.8341466,-335455462.55848944,-592029045.7170194,283555.72061770264,-598503.5589800243
219,306135299.05543417,-260076020.89881733,-377875686.8434161,-567891839.1096944,287785.5553585607,-599616.8909211063
220,257607061.90724912,-304926652.9554838,-418336724.8044878,-540815740.9492275,292332.0696475613,-601115.2392125059
221,202404633.32520857,-341883851.33386874,-456644608.566729,-510961265.897288,297138.21776661725,-603055.3104421285
222,141884546.12969232,-369861765.6338716,-492618626.9811463,-478500235.85538286,302135.59195560584,-605483.859069541
223,77606170.57405415,-388038090.01915157,-526091754.26363605,-443614697.6030929,307246.58510428225,-608434.9786952018
224,11269553.506128632,-395898883.7703105,-556910996.8827006,-406495863.05526096,312387.3247848664,-611928.019625553
225,-55358107.94493499,-393264700.0539765,-584937667.1032343,-367343076.4051502,317471.14028382406,-615966.3853848949
226,-120520398.57023036,-380295027.61968315,-610047591.3507924,-326362811.06484926,322412.23532440566,-620537.3490572879
227,-182546442.72121838,-357471068.95410955,-632131261.181677,-283767698.0747601,327129.2099443707,-625612.8883089151
228,-239915707.41039553,-325559810.6296371,-651093934.1702764,-239775586.5227778,331548.1126511717,-631151.3999816206
229,-291308019.4500991,-285564507.36755395,-666855691.5110354,-194608635.474884,335604.7956619962,-637100.0532538558
230,-335636489.83607244,-238667705.11038214,-679351458.6585388,-148492435.95792323,339246.46483195375,-643397.4931524138
231,-372063501.2740232,-186172751.4838163,-688530995.0097873,-101655160.6705023,342432.4317587411,-649976.6145456996
232,-400001827.3903972,-129448673.5276178,-694358858.5828174,-54326738.45356697,345134.16555894946,-656767.1770487437
233,-419104085.8251264,-69881774.75323333,-696814351.8106618,-6738050.460832454,347334.79516469786,-663698.1031710536
234,-429244100.5419418,-8835726.323426202,-695891454.3292297,40879854.08348107,349028.23054288875,-670699.3762396835
235,-430493539.324218,52379414.09205682,-691598746.5267509,88296522.70092785,350218.06133325736,-677703.5176987511
236,-423096634.06635374,112529791.68222483,-683959322.5061518,135282844.07859963,350916.36499593436,-684646.6689799424
237,-407445094.0980675,170473072.20666012,-673010685.3754293,181611773.89424407,351142.5235961457,-691469.33070212
238,-384054634.4474152,225167869.84646684,-658804617.4636279,227059050.12730122,350922.1159530801,-698116.8244309206
239,-353543946.19041574,275678700.33715373,-641407024.7987098,271403909.48380166,350285.9240613368,-704539.5438883656
240,-316616471.3046245,321177769.7442163,-620897761.5835121,314429813.322307,349269.07098520495,-710693.0574895509
241,-274045011.765471,360944734.0790016,-597370440.0435005,355925185.638834,347910.2917611658,-716538.1156929792
242,-226658981.86630586,394365365.20176834,-570932226.1874596,395684162.68535256,346251.3283330325,-722040.6071754728
243,-175333975.79817477,420929863.7956659,-541703617.7844145,433507353.97038394,344336.43299241085,-727171.4986862456
244,-120983243.07696739,440231386.98546594,-509818198.9487906,469202615.4305658,342211.96101002465,-731906.7853098469
245,-64550620.94406935,451965211.8873689,-475422365.30469924,502585836.07167315,339926.03108752274,-736227.4709963509
246,-7004448.756032407,455928835.0924956,-438675013.7235677,533481739.1897849,337528.2311253385,-740119.5935048659
247,50668027.480193496,452023205.6504741,-399747190.6179813,561724698.6494846,335069.3460085121,-743574.3030698049
248,107466269.7799803,440255197.101591,-358821692.643321,587159569.8321502,332601.08328504866,-746587.9997471956
249,162382613.57028857,420741332.80375874,-316092613.4624617,609642533.8790463,330175.7715638155,-749162.530076671
250,214409542.2418568,393712677.73680997,-271764830.0417423,629041952.7777487,327846.00518656854,-751305.4389115577
251,262548656.9679959,359520688.29404527,-226053421.82934594,645239231.6852343,325664.2074242009,-753030.2665144042
252,305821947.21716416,318643658.75876224,-179183016.16611928,658129683.649446,323682.0835379205,-754356.8737928846
253,343285963.2038927,271693210.37214017,-131387053.43027553,667623390.5887481,321949.93524672725,-755311.7694453965
254,374049441.4027657,219420031.49160486,-82906965.75280401,673646053.0269252,320515.81050965685,-755928.4015789669
255,397294808.02504003,162717798.95170206,-33991263.68822397,676139819.6789075,319424.4684852091,-756247.3632258425
256,412303746.46240795,102623909.09384239,15105473.988425754,675064086.5655849,318716.15079255245,-756316.4469540048
257,418486625.0231194,40315360.923271626,64123711.139850214,670396253.9391655,318425.1685637171,-756190.4702721236
258,415415011.49203944,-22902069.823332973,112800168.23402071,662132427.9658244,318578.34162378317,-755930.7839108566
259,402855747.8409228,-85613251.30512628,160869140.25536942,650288052.8899101,319193.36162251985,-755604.3738837615
260,380804167.8652315,-146323321.98148966,208063917.4785102,634898458.3509107,320277.1928982423,-755282.4811233898
261,349513131.93714917,-203498442.61505055,254118305.81864145,616019305.7038587,321824.6676680735,-755038.6949977931
262,309513831.16268396,-255617415.0980883,298768240.99874926,593726916.6731515,323817.466173726,-754946.532463721
